Offset,EventType,UserPrincipalName,IPAddress,AppDisplayName,ResultType,ResultDescription,RiskLevelDuringSignIn,Location,OperationName,AuditResult,Category
06:00:00,Signin,alexw@contoso.com,52.170.12.45,Azure Portal,0,Success,none,United States,,,
05:55:00,Signin,alexw@contoso.com,185.220.101.2,Microsoft Graph,50126,Invalid username or password,medium,Netherlands,,,
05:50:00,Signin,alexw@contoso.com,185.220.101.2,Microsoft Graph,50126,Invalid username or password,medium,Netherlands,,,
05:45:00,Signin,alexw@contoso.com,185.220.101.2,Azure Portal,50053,Account locked,high,Netherlands,,,
05:40:00,Signin,meganb@contoso.com,20.98.111.30,Office 365 Exchange Online,0,Success,none,United Kingdom,,,
05:35:00,Signin,meganb@contoso.com,20.98.111.30,Microsoft Teams,0,Success,none,United Kingdom,,,
05:30:00,Signin,sophial@contoso.com,13.69.54.88,SharePoint Online,50057,User account disabled,high,Germany,,,
05:25:00,Signin,sophial@contoso.com,13.69.54.88,SharePoint Online,50055,Password expired,medium,Germany,,,
05:20:00,Signin,jamest@contoso.com,40.74.25.67,Azure Portal,0,Success,none,United States,,,
05:15:00,Signin,jamest@contoso.com,40.74.25.67,Microsoft Graph,50126,Invalid username or password,low,United States,,,
05:10:00,Signin,jamest@contoso.com,40.74.25.67,Microsoft Graph,0,Success,none,United States,,,
05:05:00,Signin,itadmin@contoso.com,104.46.92.14,Azure Portal,0,Success,none,India,,,
05:00:00,Audit,itadmin@contoso.com,,,-1,,,,Add member to group,Success,GroupManagement
04:55:00,Audit,itadmin@contoso.com,,,-1,,,,Update user,Success,UserManagement
04:50:00,Audit,itadmin@contoso.com,,,-1,,,,Reset user password,Success,UserManagement
04:45:00,Audit,alexw@contoso.com,,,-1,,,,Add app role assignment to user,Failure,ApplicationManagement
04:40:00,Audit,alexw@contoso.com,,,-1,,,,Add app role assignment to user,Failure,ApplicationManagement
04:35:00,Audit,meganb@contoso.com,,,-1,,,,Update group,Success,GroupManagement
04:30:00,Audit,sophial@contoso.com,,,-1,,,,Delete application,Failure,ApplicationManagement
04:25:00,Audit,jamest@contoso.com,,,-1,,,,Consent to application,Success,ApplicationManagement
