TimeGenerated,AADTenantId,UserPrincipalName,UserId,UserDisplayName,UserType,SignInIdentifierType,AppDisplayName,AppId,ResourceDisplayName,IPAddress,Location,LocationDetails,IsInteractive,ClientAppUsed,UserAgent,DeviceDetail,AuthenticationMethodsUsed,AuthenticationProtocol,ConditionalAccessStatus,AppliedConditionalAccessPolicies,RiskLevelAggregated,RiskState,RiskEventTypes_V2,ResultType,ResultDescription,Status,CorrelationId,SessionId,SessionLifetimePolicies
2026-02-03T20:07:48.134817Z,11111111-2222-3333-4444-555555555555,alice.singh@contoso.com,6bc3533f-9c0b-5b9e-93ad-8ea04aa24579,Alice Singh,member,userPrincipalName,Custom HR App,8d3b1c2a-7f8f-4c7e-9a3c-8d9c7a6b5f44,Custom HR App,13.229.0.63,SG,"{""countryOrRegion"":""SG"",""city"":""Singapore"",""state"":""SG"",""geoCoordinates"":{""latitude"":1.3521,""longitude"":103.8198}}",true,Exchange ActiveSync,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0) Gecko/20100101 Firefox/121.0,"{""deviceId"":""170bbaff-d75e-45de-a4ae-0d309aaa7049"",""operatingSystem"":""Windows 10"",""browser"":""Chrome"",""isManaged"":true,""isCompliant"":true}",PHS;Password,oAuth2,notApplied,"[{""name"":""Require MFA for All Users"",""result"":""notApplied""}]",hidden,remediated,unlikelyTravel,0,Success,"{""errorCode"":0,""failureReason"":null,""additionalDetails"":null}",c4b5199b-7e92-4f35-8ca2-912347cf6321,9505a573-4487-4b26-af6e-8cdd28d0e336,
2026-02-08T22:58:48.134817Z,11111111-2222-3333-4444-555555555555,disha.mukherjee@contoso.com,db4fe0e3-aa4a-50fa-9e76-f2dbe937a566,Disha Mukherjee,member,userPrincipalName,Custom HR App,8d3b1c2a-7f8f-4c7e-9a3c-8d9c7a6b5f44,Custom HR App,177.54.0.57,BR,"{""countryOrRegion"":""BR"",""city"":""Sao Paulo"",""state"":""SP"",""geoCoordinates"":{""latitude"":-23.5505,""longitude"":-46.6333}}",false,MAPI,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 Chrome/121.0 Safari/537.36,"{""deviceId"":""d654a97e-c511-4546-b5ff-a15112fd8bb0"",""operatingSystem"":""Windows 10"",""browser"":""Chrome"",""isManaged"":false,""isCompliant"":true}",PHS;Password,saml20,failure,"[{""name"":""Require compliant device"",""result"":""failure""},{""name"":""Require MFA for All Users"",""result"":""notApplied""}]",low,confirmedSafe,anonymizedIPAddress,0,Success,"{""errorCode"":0,""failureReason"":null,""additionalDetails"":null}",689eca59-a135-40ed-9895-b2f667537806,221a0282-5b98-45b0-baeb-2424e87b123c,SignInFrequency=8h;PersistentBrowser=disabled
2026-02-08T16:08:48.134817Z,11111111-2222-3333-4444-555555555555,bob.roy@contoso.com,2725fc05-03e6-5416-ad76-7549fd098072,Bob Roy,member,userPrincipalName,SharePoint Online,00000003-0000-0ff1-ce00-000000000000,SharePoint Online,103.21.244.142,IN,"{""countryOrRegion"":""IN"",""city"":""Bengaluru"",""state"":""KA"",""geoCoordinates"":{""latitude"":12.9716,""longitude"":77.5946}}",true,POP,python-requests/2.31.0,"{""deviceId"":""c7bf1d16-c422-4d3f-abbf-a9d972b46d86"",""operatingSystem"":""Linux"",""browser"":""Firefox"",""isManaged"":true,""isCompliant"":false}",PHS;Password,saml20,notApplied,"[{""name"":""Block legacy auth"",""result"":""success""},{""name"":""Require compliant device"",""result"":""failure""}]",medium,atRisk,unfamiliarFeatures,53003,Access blocked by Conditional Access,"{""errorCode"":53003,""failureReason"":""Access blocked by Conditional Access"",""additionalDetails"":null}",fdaf6ec6-6a80-42d9-b25a-27449a1031f8,84ec59ca-0fa6-4e7b-a526-ac7c3f5f9570,SignInFrequency=8h;PersistentBrowser=disabled
2026-02-03T09:12:48.134817Z,11111111-2222-3333-4444-555555555555,app.spn@contoso.com,acb8bfdf-c360-5893-87ee-995496e973b4,App Service Principal,member,userPrincipalName,Custom HR App,8d3b1c2a-7f8f-4c7e-9a3c-8d9c7a6b5f44,Custom HR App,52.170.12.137,US,"{""countryOrRegion"":""US"",""city"":""Seattle"",""state"":""WA"",""geoCoordinates"":{""latitude"":47.6062,""longitude"":-122.3321}}",true,Exchange ActiveSync,Mozilla/5.0 (Linux; Android 14; Pixel 7) AppleWebKit/537.36 Chrome/120.0 Mobile Safari/537.36,"{""deviceId"":""905122eb-d3df-4b6d-9003-64351256605d"",""operatingSystem"":""Linux"",""browser"":""Firefox"",""isManaged"":true,""isCompliant"":true}",Password;Authenticator App,deviceCode,notApplied,[],hidden,atRisk,leakedCredentials,0,Success,"{""errorCode"":0,""failureReason"":null,""additionalDetails"":null}",e84f8c58-1977-417b-b127-2a06c03c45ec,49ba60d4-33fb-4bea-993f-e293740eb3b1,SignInFrequency=8h;PersistentBrowser=disabled
2026-02-07T03:15:48.134817Z,11111111-2222-3333-4444-555555555555,evan.guest@fabrikam.com,a16014ba-de70-541e-9f4c-349b24ff9369,Evan Guest,guest,userPrincipalName,Microsoft Teams,1fec8e78-bce4-4aaf-ab1b-5451cc387264,Microsoft Teams,18.184.0.234,DE,"{""countryOrRegion"":""DE"",""city"":""Frankfurt"",""state"":""HE"",""geoCoordinates"":{""latitude"":50.1109,""longitude"":8.6821}}",true,IMAP,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0) Gecko/20100101 Firefox/121.0,"{""deviceId"":""064ef28f-7e36-4483-bad5-a9a72f54b9d6"",""operatingSystem"":""Windows 11"",""browser"":""Edge"",""isManaged"":false,""isCompliant"":false}",FIDO2,deviceCode,notApplied,"[{""name"":""Require MFA for All Users"",""result"":""notApplied""},{""name"":""Sign-in risk policy"",""result"":""success""}]",low,confirmedSafe,unfamiliarFeatures,0,Success,"{""errorCode"":0,""failureReason"":null,""additionalDetails"":null}",0a3c813b-654f-4257-b90a-ee142aeaa5b1,5dbf4868-a3b4-444c-ab4e-9a6fdc13f10a,SignInFrequency=8h;PersistentBrowser=disabled
2026-02-07T02:46:48.134817Z,11111111-2222-3333-4444-555555555555,finance.admin@contoso.com,5047fbe0-87a1-518e-9cdf-62d2c069d932,Finance Admin,member,userPrincipalName,Office 365 Exchange Online,00000002-0000-0ff1-ce00-000000000000,Exchange Online,52.170.12.131,US,"{""countryOrRegion"":""US"",""city"":""Seattle"",""state"":""WA"",""geoCoordinates"":{""latitude"":47.6062,""longitude"":-122.3321}}",false,Mobile Apps and Desktop clients,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 Chrome/121.0 Safari/537.36,"{""deviceId"":""6ce49f0f-a652-4a52-a3ec-5a276a46ca8c"",""operatingSystem"":""iOS 17"",""browser"":""Safari"",""isManaged"":false,""isCompliant"":false}",Password;SMS,oAuth2,notApplied,"[{""name"":""Require MFA for All Users"",""result"":""notApplied""},{""name"":""Require MFA for Admins"",""result"":""success""}]",hidden,none,unfamiliarFeatures,0,Success,"{""errorCode"":0,""failureReason"":null,""additionalDetails"":null}",a3561552-7aa4-4b9f-b68c-ce6903ecf1e2,ab874238-895b-4668-bcb1-2ab85f45b1ad,
2026-02-03T20:59:48.134817Z,11111111-2222-3333-4444-555555555555,svc-backup@contoso.com,46b994c4-c83e-5bd1-928b-fd9efba3100c,svc-backup,member,userPrincipalName,VPN SSO Gateway,c1a0a8e4-0f19-4f4b-9a9b-21c6f6a5b0b2,VPN Gateway,13.229.0.197,SG,"{""countryOrRegion"":""SG"",""city"":""Singapore"",""state"":""SG"",""geoCoordinates"":{""latitude"":1.3521,""longitude"":103.8198}}",false,IMAP,python-requests/2.31.0,"{""deviceId"":""69380e42-bae3-4759-a96d-9011cdc4d014"",""operatingSystem"":""Linux"",""browser"":""MobileSafari"",""isManaged"":false,""isCompliant"":true}",Password;SMS,none,notApplied,"[{""name"":""Require compliant device"",""result"":""failure""}]",high,none,unfamiliarFeatures,53003,Access blocked by Conditional Access,"{""errorCode"":53003,""failureReason"":""Access blocked by Conditional Access"",""additionalDetails"":null}",c8510211-6468-4f65-a0d6-33ebe32a5636,3a0ab5e3-64b5-4ac2-be61-f4ea192380a2,SignInFrequency=8h;PersistentBrowser=disabled
2026-02-08T17:00:48.134817Z,11111111-2222-3333-4444-555555555555,svc-backup@contoso.com,46b994c4-c83e-5bd1-928b-fd9efba3100c,svc-backup,member,userPrincipalName,Microsoft Teams,1fec8e78-bce4-4aaf-ab1b-5451cc387264,Microsoft Teams,95.213.0.126,RU,"{""countryOrRegion"":""RU"",""city"":""Moscow"",""state"":""MOW"",""geoCoordinates"":{""latitude"":55.7558,""longitude"":37.6173}}",false,Other clients,python-requests/2.31.0,"{""deviceId"":""10430144-c4a0-4206-a055-bf82c2e3c636"",""operatingSystem"":""Linux"",""browser"":""Safari"",""isManaged"":false,""isCompliant"":true}",Password;SMS,none,failure,"[{""name"":""Require MFA for All Users"",""result"":""notApplied""},{""name"":""Sign-in risk policy"",""result"":""success""}]",low,dismissed,maliciousIPAddress,50079,User needs to use multi-factor authentication,"{""errorCode"":50079,""failureReason"":""User needs to use multi-factor authentication"",""additionalDetails"":null}",0cc77447-a0a4-4e57-bae2-570622db8b33,081de7f5-061a-45f8-b790-88a5156300df,SignInFrequency=8h;PersistentBrowser=disabled
2026-02-04T20:38:48.134817Z,11111111-2222-3333-4444-555555555555,evan.guest@fabrikam.com,a16014ba-de70-541e-9f4c-349b24ff9369,Evan Guest,guest,userPrincipalName,SharePoint Online,00000003-0000-0ff1-ce00-000000000000,SharePoint Online,95.213.0.113,RU,"{""countryOrRegion"":""RU"",""city"":""Moscow"",""state"":""MOW"",""geoCoordinates"":{""latitude"":55.7558,""longitude"":37.6173}}",false,Mobile Apps and Desktop clients,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/120.0 Safari/537.36,"{""deviceId"":""a388f429-1ad5-4cec-b747-d086e1be5133"",""operatingSystem"":""Windows 10"",""browser"":""Chrome"",""isManaged"":false,""isCompliant"":false}",Password,saml20,notApplied,[],hidden,atRisk,unfamiliarFeatures,0,Success,"{""errorCode"":0,""failureReason"":null,""additionalDetails"":null}",181a9afd-00c7-4672-b44d-56f63ec94e4d,e7fa1209-d2ec-4115-8a4a-b6763abeb672,
2026-02-02T22:17:48.134817Z,11111111-2222-3333-4444-555555555555,finance.admin@contoso.com,5047fbe0-87a1-518e-9cdf-62d2c069d932,Finance Admin,member,userPrincipalName,Microsoft Teams,1fec8e78-bce4-4aaf-ab1b-5451cc387264,Microsoft Teams,18.184.0.72,DE,"{""countryOrRegion"":""DE"",""city"":""Frankfurt"",""state"":""HE"",""geoCoordinates"":{""latitude"":50.1109,""longitude"":8.6821}}",false,IMAP,python-requests/2.31.0,"{""deviceId"":""ad7ff05c-77c8-4b19-87f0-fdba98862749"",""operatingSystem"":""iOS 17"",""browser"":""Edge"",""isManaged"":true,""isCompliant"":true}",PHS;Password,saml20,notApplied,"[{""name"":""Require compliant device"",""result"":""failure""},{""name"":""Sign-in risk policy"",""result"":""success""},{""name"":""Block legacy auth"",""result"":""success""}]",low,remediated,maliciousIPAddress,0,Success,"{""errorCode"":0,""failureReason"":null,""additionalDetails"":null}",37b8bc8d-8fee-4e68-943b-2b5a0385d387,a07d79ed-c6ee-43fa-b060-307fb86f6212,
