
TimeGenerated,UserPrincipalName,AccountName,IPAddress,Computer,CorrelationId,OperationName,TargetRole,Status
2026-02-01 08:24:00,user1@contoso.com,user1,203.0.113.10,HOST01,session_01,RoleAssignment,Administrator,Success
2026-02-01 08:26:00,user1@contoso.com,user1,203.0.113.10,HOST01,session_01,RoleAssignment,Administrator,Success
2026-02-01 08:28:00,user1@contoso.com,user1,203.0.113.10,HOST01,session_01,RoleAssignment,Administrator,Success
2026-02-01 08:30:00,user1@contoso.com,user1,203.0.113.10,HOST01,session_01,RoleAssignment,Administrator,Success
2026-02-01 08:32:00,user1@contoso.com,user1,203.0.113.10,HOST01,session_01,RoleAssignment,Administrator,Success
2026-02-01 08:34:00,user1@contoso.com,user1,203.0.113.10,HOST01,session_01,AddMemberToGroup,Administrator,Success
2026-02-01 08:36:00,user1@contoso.com,user1,203.0.113.10,HOST01,session_01,AddMemberToGroup,Administrator,Success
2026-02-01 08:38:00,user1@contoso.com,user1,203.0.113.10,HOST01,session_01,PasswordChange,Administrator,Success
2026-02-01 08:40:00,user1@contoso.com,user1,203.0.113.10,HOST01,session_01,RoleAssignment,Administrator,Success
2026-02-02 08:24:00,user2@contoso.com,user2,203.0.113.11,HOST02,session_02,RoleAssignment,Administrator,Success
2026-02-02 08:26:00,user2@contoso.com,user2,203.0.113.11,HOST02,session_02,PasswordChange,Administrator,Success
2026-02-02 08:28:00,user2@contoso.com,user2,203.0.113.11,HOST02,session_02,PasswordChange,Administrator,Success
2026-02-02 08:30:00,user2@contoso.com,user2,203.0.113.11,HOST02,session_02,PasswordChange,Administrator,Success
2026-02-02 08:32:00,user2@contoso.com,user2,203.0.113.11,HOST02,session_02,RoleAssignment,Administrator,Success
2026-02-02 08:34:00,user2@contoso.com,user2,203.0.113.11,HOST02,session_02,AddMemberToGroup,Administrator,Success
2026-02-02 08:36:00,user2@contoso.com,user2,203.0.113.11,HOST02,session_02,AddMemberToGroup,Administrator,Success
2026-02-02 08:38:00,user2@contoso.com,user2,203.0.113.11,HOST02,session_02,RoleAssignment,Administrator,Success
2026-02-02 08:40:00,user2@contoso.com,user2,203.0.113.11,HOST02,session_02,PasswordChange,Administrator,Success
2026-02-03 08:24:00,user3@contoso.com,user3,203.0.113.12,HOST03,session_03,RoleAssignment,Administrator,Success
2026-02-03 08:26:00,user3@contoso.com,user3,203.0.113.12,HOST03,session_03,PasswordChange,Administrator,Success
2026-02-03 08:28:00,user3@contoso.com,user3,203.0.113.12,HOST03,session_03,PasswordChange,Administrator,Success
2026-02-03 08:30:00,user3@contoso.com,user3,203.0.113.12,HOST03,session_03,AddMemberToGroup,Administrator,Success
2026-02-03 08:32:00,user3@contoso.com,user3,203.0.113.12,HOST03,session_03,AddMemberToGroup,Administrator,Success
2026-02-03 08:34:00,user3@contoso.com,user3,203.0.113.12,HOST03,session_03,PasswordChange,Administrator,Success
2026-02-03 08:36:00,user3@contoso.com,user3,203.0.113.12,HOST03,session_03,RoleAssignment,Administrator,Success
2026-02-03 08:38:00,user3@contoso.com,user3,203.0.113.12,HOST03,session_03,AddMemberToGroup,Administrator,Success
2026-02-03 08:40:00,user3@contoso.com,user3,203.0.113.12,HOST03,session_03,AddMemberToGroup,Administrator,Success
2026-02-04 08:24:00,user4@contoso.com,user4,203.0.113.13,HOST04,session_04,AddMemberToGroup,Administrator,Success
2026-02-04 08:26:00,user4@contoso.com,user4,203.0.113.13,HOST04,session_04,AddMemberToGroup,Administrator,Success
2026-02-04 08:28:00,user4@contoso.com,user4,203.0.113.13,HOST04,session_04,RoleAssignment,Administrator,Success
2026-02-04 08:30:00,user4@contoso.com,user4,203.0.113.13,HOST04,session_04,RoleAssignment,Administrator,Success
2026-02-04 08:32:00,user4@contoso.com,user4,203.0.113.13,HOST04,session_04,PasswordChange,Administrator,Success
2026-02-04 08:34:00,user4@contoso.com,user4,203.0.113.13,HOST04,session_04,PasswordChange,Administrator,Success
2026-02-04 08:36:00,user4@contoso.com,user4,203.0.113.13,HOST04,session_04,AddMemberToGroup,Administrator,Success
2026-02-04 08:38:00,user4@contoso.com,user4,203.0.113.13,HOST04,session_04,RoleAssignment,Administrator,Success
2026-02-04 08:40:00,user4@contoso.com,user4,203.0.113.13,HOST04,session_04,AddMemberToGroup,Administrator,Success
2026-02-05 08:24:00,user5@contoso.com,user5,203.0.113.14,HOST05,session_05,PasswordChange,Administrator,Success
2026-02-05 08:26:00,user5@contoso.com,user5,203.0.113.14,HOST05,session_05,AddMemberToGroup,Administrator,Success
2026-02-05 08:28:00,user5@contoso.com,user5,203.0.113.14,HOST05,session_05,AddMemberToGroup,Administrator,Success
2026-02-05 08:30:00,user5@contoso.com,user5,203.0.113.14,HOST05,session_05,RoleAssignment,Administrator,Success
