
TimeGenerated,UserPrincipalName,AccountName,OperationName,ResourceGroup,ResourceName,IPAddress,Computer,CorrelationId,Status
2026-02-01 08:30:00,user1@contoso.com,user1,DeleteResource,RGsession_01,Resource0,203.0.113.10,HOST01,session_01,Success
2026-02-01 08:35:00,user1@contoso.com,user1,UpdateResource,RGsession_01,Resource1,203.0.113.10,HOST01,session_01,Success
2026-02-01 08:40:00,user1@contoso.com,user1,CreateVM,RGsession_01,Resource2,203.0.113.10,HOST01,session_01,Success
2026-02-01 08:45:00,user1@contoso.com,user1,UpdateResource,RGsession_01,Resource3,203.0.113.10,HOST01,session_01,Success
2026-02-01 08:50:00,user1@contoso.com,user1,StartVM,RGsession_01,Resource4,203.0.113.10,HOST01,session_01,Success
2026-02-02 08:30:00,user2@contoso.com,user2,DeleteResource,RGsession_02,Resource0,203.0.113.11,HOST02,session_02,Success
2026-02-02 08:35:00,user2@contoso.com,user2,UpdateResource,RGsession_02,Resource1,203.0.113.11,HOST02,session_02,Success
2026-02-02 08:40:00,user2@contoso.com,user2,StartVM,RGsession_02,Resource2,203.0.113.11,HOST02,session_02,Success
2026-02-02 08:45:00,user2@contoso.com,user2,UpdateResource,RGsession_02,Resource3,203.0.113.11,HOST02,session_02,Success
2026-02-02 08:50:00,user2@contoso.com,user2,CreateVM,RGsession_02,Resource4,203.0.113.11,HOST02,session_02,Success
2026-02-03 08:30:00,user3@contoso.com,user3,StartVM,RGsession_03,Resource0,203.0.113.12,HOST03,session_03,Success
2026-02-03 08:35:00,user3@contoso.com,user3,StartVM,RGsession_03,Resource1,203.0.113.12,HOST03,session_03,Success
2026-02-03 08:40:00,user3@contoso.com,user3,DeleteResource,RGsession_03,Resource2,203.0.113.12,HOST03,session_03,Success
2026-02-03 08:45:00,user3@contoso.com,user3,CreateVM,RGsession_03,Resource3,203.0.113.12,HOST03,session_03,Success
2026-02-03 08:50:00,user3@contoso.com,user3,UpdateResource,RGsession_03,Resource4,203.0.113.12,HOST03,session_03,Success
2026-02-04 08:30:00,user4@contoso.com,user4,UpdateResource,RGsession_04,Resource0,203.0.113.13,HOST04,session_04,Success
2026-02-04 08:35:00,user4@contoso.com,user4,DeleteResource,RGsession_04,Resource1,203.0.113.13,HOST04,session_04,Success
2026-02-04 08:40:00,user4@contoso.com,user4,StartVM,RGsession_04,Resource2,203.0.113.13,HOST04,session_04,Success
2026-02-04 08:45:00,user4@contoso.com,user4,DeleteResource,RGsession_04,Resource3,203.0.113.13,HOST04,session_04,Success
2026-02-04 08:50:00,user4@contoso.com,user4,CreateVM,RGsession_04,Resource4,203.0.113.13,HOST04,session_04,Success
2026-02-05 08:30:00,user5@contoso.com,user5,DeleteResource,RGsession_05,Resource0,203.0.113.14,HOST05,session_05,Success
2026-02-05 08:35:00,user5@contoso.com,user5,UpdateResource,RGsession_05,Resource1,203.0.113.14,HOST05,session_05,Success
2026-02-05 08:40:00,user5@contoso.com,user5,CreateVM,RGsession_05,Resource2,203.0.113.14,HOST05,session_05,Success
2026-02-05 08:45:00,user5@contoso.com,user5,DeleteResource,RGsession_05,Resource3,203.0.113.14,HOST05,session_05,Success
2026-02-05 08:50:00,user5@contoso.com,user5,DeleteResource,RGsession_05,Resource4,203.0.113.14,HOST05,session_05,Success
2026-02-06 08:30:00,user6@contoso.com,user6,StartVM,RGsession_06,Resource0,203.0.113.15,HOST06,session_06,Success
2026-02-06 08:35:00,user6@contoso.com,user6,CreateVM,RGsession_06,Resource1,203.0.113.15,HOST06,session_06,Success
2026-02-06 08:40:00,user6@contoso.com,user6,StartVM,RGsession_06,Resource2,203.0.113.15,HOST06,session_06,Success
2026-02-06 08:45:00,user6@contoso.com,user6,StartVM,RGsession_06,Resource3,203.0.113.15,HOST06,session_06,Success
2026-02-06 08:50:00,user6@contoso.com,user6,CreateVM,RGsession_06,Resource4,203.0.113.15,HOST06,session_06,Success
2026-02-07 08:30:00,user7@contoso.com,user7,UpdateResource,RGsession_07,Resource0,203.0.113.16,HOST07,session_07,Success
2026-02-07 08:35:00,user7@contoso.com,user7,DeleteResource,RGsession_07,Resource1,203.0.113.16,HOST07,session_07,Success
2026-02-07 08:40:00,user7@contoso.com,user7,StartVM,RGsession_07,Resource2,203.0.113.16,HOST07,session_07,Success
