
TimeGenerated,UserPrincipalName,AccountName,Operation,Item,IPAddress,Computer,CorrelationId,Status
2026-02-01 08:35:00,user1@contoso.com,user1,DownloadAttachment,Item0,203.0.113.10,HOST01,session_01,Completed
2026-02-01 08:40:00,user1@contoso.com,user1,ReadEmail,Item1,203.0.113.10,HOST01,session_01,Completed
2026-02-01 08:45:00,user1@contoso.com,user1,DownloadAttachment,Item2,203.0.113.10,HOST01,session_01,Completed
2026-02-01 08:50:00,user1@contoso.com,user1,AccessFile,Item3,203.0.113.10,HOST01,session_01,Completed
2026-02-01 08:55:00,user1@contoso.com,user1,SendEmail,Item4,203.0.113.10,HOST01,session_01,Completed
2026-02-02 08:35:00,user2@contoso.com,user2,SendEmail,Item0,203.0.113.11,HOST02,session_02,Completed
2026-02-02 08:40:00,user2@contoso.com,user2,AccessFile,Item1,203.0.113.11,HOST02,session_02,Completed
2026-02-02 08:45:00,user2@contoso.com,user2,DownloadAttachment,Item2,203.0.113.11,HOST02,session_02,Completed
2026-02-02 08:50:00,user2@contoso.com,user2,AccessFile,Item3,203.0.113.11,HOST02,session_02,Completed
2026-02-02 08:55:00,user2@contoso.com,user2,DownloadAttachment,Item4,203.0.113.11,HOST02,session_02,Completed
2026-02-03 08:35:00,user3@contoso.com,user3,ReadEmail,Item0,203.0.113.12,HOST03,session_03,Completed
2026-02-03 08:40:00,user3@contoso.com,user3,AccessFile,Item1,203.0.113.12,HOST03,session_03,Completed
2026-02-03 08:45:00,user3@contoso.com,user3,AccessFile,Item2,203.0.113.12,HOST03,session_03,Completed
2026-02-03 08:50:00,user3@contoso.com,user3,DownloadAttachment,Item3,203.0.113.12,HOST03,session_03,Completed
2026-02-03 08:55:00,user3@contoso.com,user3,ReadEmail,Item4,203.0.113.12,HOST03,session_03,Completed
2026-02-04 08:35:00,user4@contoso.com,user4,DownloadAttachment,Item0,203.0.113.13,HOST04,session_04,Completed
2026-02-04 08:40:00,user4@contoso.com,user4,DownloadAttachment,Item1,203.0.113.13,HOST04,session_04,Completed
2026-02-04 08:45:00,user4@contoso.com,user4,SendEmail,Item2,203.0.113.13,HOST04,session_04,Completed
2026-02-04 08:50:00,user4@contoso.com,user4,AccessFile,Item3,203.0.113.13,HOST04,session_04,Completed
2026-02-04 08:55:00,user4@contoso.com,user4,DownloadAttachment,Item4,203.0.113.13,HOST04,session_04,Completed
2026-02-05 08:35:00,user5@contoso.com,user5,SendEmail,Item0,203.0.113.14,HOST05,session_05,Completed
2026-02-05 08:40:00,user5@contoso.com,user5,DownloadAttachment,Item1,203.0.113.14,HOST05,session_05,Completed
2026-02-05 08:45:00,user5@contoso.com,user5,ReadEmail,Item2,203.0.113.14,HOST05,session_05,Completed
2026-02-05 08:50:00,user5@contoso.com,user5,SendEmail,Item3,203.0.113.14,HOST05,session_05,Completed
2026-02-05 08:55:00,user5@contoso.com,user5,ReadEmail,Item4,203.0.113.14,HOST05,session_05,Completed
2026-02-06 08:35:00,user6@contoso.com,user6,SendEmail,Item0,203.0.113.15,HOST06,session_06,Completed
2026-02-06 08:40:00,user6@contoso.com,user6,AccessFile,Item1,203.0.113.15,HOST06,session_06,Completed
2026-02-06 08:45:00,user6@contoso.com,user6,ReadEmail,Item2,203.0.113.15,HOST06,session_06,Completed
2026-02-06 08:50:00,user6@contoso.com,user6,ReadEmail,Item3,203.0.113.15,HOST06,session_06,Completed
2026-02-06 08:55:00,user6@contoso.com,user6,ReadEmail,Item4,203.0.113.15,HOST06,session_06,Completed
2026-02-07 08:35:00,user7@contoso.com,user7,DownloadAttachment,Item0,203.0.113.16,HOST07,session_07,Completed
2026-02-07 08:40:00,user7@contoso.com,user7,SendEmail,Item1,203.0.113.16,HOST07,session_07,Completed
2026-02-07 08:45:00,user7@contoso.com,user7,AccessFile,Item2,203.0.113.16,HOST07,session_07,Completed
2026-02-07 08:50:00,user7@contoso.com,user7,SendEmail,Item3,203.0.113.16,HOST07,session_07,Completed
2026-02-07 08:55:00,user7@contoso.com,user7,ReadEmail,Item4,203.0.113.16,HOST07,session_07,Completed
2026-02-08 08:35:00,user8@contoso.com,user8,DownloadAttachment,Item0,203.0.113.17,HOST08,session_08,Completed
2026-02-08 08:40:00,user8@contoso.com,user8,SendEmail,Item1,203.0.113.17,HOST08,session_08,Completed
2026-02-08 08:45:00,user8@contoso.com,user8,DownloadAttachment,Item2,203.0.113.17,HOST08,session_08,Completed
2026-02-08 08:50:00,user8@contoso.com,user8,SendEmail,Item3,203.0.113.17,HOST08,session_08,Completed
2026-02-08 08:55:00,user8@contoso.com,user8,SendEmail,Item4,203.0.113.17,HOST08,session_08,Completed
2026-02-09 08:35:00,user9@contoso.com,user9,DownloadAttachment,Item0,203.0.113.18,HOST09,session_09,Completed
2026-02-09 08:40:00,user9@contoso.com,user9,SendEmail,Item1,203.0.113.18,HOST09,session_09,Completed
2026-02-09 08:45:00,user9@contoso.com,user9,AccessFile,Item2,203.0.113.18,HOST09,session_09,Completed
2026-02-09 08:50:00,user9@contoso.com,user9,SendEmail,Item3,203.0.113.18,HOST09,session_09,Completed
2026-02-09 08:55:00,user9@contoso.com,user9,ReadEmail,Item4,203.0.113.18,HOST09,session_09,Completed
2026-02-10 08:35:00,user10@contoso.com,user10,SendEmail,Item0,203.0.113.19,HOST10,session_10,Completed
2026-02-10 08:40:00,user10@contoso.com,user10,DownloadAttachment,Item1,203.0.113.19,HOST10,session_10,Completed
2026-02-10 08:45:00,user10@contoso.com,user10,SendEmail,Item2,203.0.113.19,HOST10,session_10,Completed
2026-02-10 08:50:00,user10@contoso.com,user10,DownloadAttachment,Item3,203.0.113.19,HOST10,session_10,Completed
2026-02-10 08:55:00,user10@contoso.com,user10,SendEmail,Item4,203.0.113.19,HOST10,session_10,Completed
