
TimeGenerated,IncidentId,Title,Severity,Status,StartTime,EndTime,UserPrincipalName,AccountName,Computer,CorrelationId,AlertId
2026-02-01 09:40:00,7917b018-aa3b-4f11-a246-9a6175f84953,Incident involving 35bc6097-ba37-4e75-9e02-f4ca0c02bb69,Low,Active,2026-02-01 09:40:00,2026-02-01 10:10:00,user1@contoso.com,user1,HOST01,session_01,35bc6097-ba37-4e75-9e02-f4ca0c02bb69
2026-02-01 09:44:00,c488b653-d110-437f-a4c9-48e195d5f902,Incident involving 1faf1672-0d5f-4f0a-93e9-650418d8f72f,Medium,Active,2026-02-01 09:44:00,2026-02-01 10:14:00,user1@contoso.com,user1,HOST01,session_01,1faf1672-0d5f-4f0a-93e9-650418d8f72f
2026-02-01 09:48:00,4212633e-50bd-4897-85e0-b24f4ba2ca66,Incident involving dbd90f15-e70e-4435-aade-314beade4520,High,Active,2026-02-01 09:48:00,2026-02-01 10:18:00,user1@contoso.com,user1,HOST01,session_01,dbd90f15-e70e-4435-aade-314beade4520
2026-02-01 09:52:00,57e9f25a-104e-44e1-9976-a9c904685c7d,Incident involving f8eac518-6f3c-4b3b-9a22-7d69c8d9942d,Low,Active,2026-02-01 09:52:00,2026-02-01 10:22:00,user1@contoso.com,user1,HOST01,session_01,f8eac518-6f3c-4b3b-9a22-7d69c8d9942d
2026-02-01 09:56:00,380f0dbb-e3e2-4e84-ae46-5e2fea4db834,Incident involving 607c08b4-5c0e-4e36-a8e6-11380b83684a,High,Active,2026-02-01 09:56:00,2026-02-01 10:26:00,user1@contoso.com,user1,HOST01,session_01,607c08b4-5c0e-4e36-a8e6-11380b83684a
2026-02-02 09:40:00,2291178a-763e-4fac-87c5-0d233e8687ca,Incident involving 448192a1-337b-41e0-b4eb-632dab3909be,Low,Active,2026-02-02 09:40:00,2026-02-02 10:10:00,user2@contoso.com,user2,HOST02,session_02,448192a1-337b-41e0-b4eb-632dab3909be
2026-02-02 09:44:00,7676e8e7-4405-4f10-a130-bbfb26e8a5e0,Incident involving 27300ca0-8fc5-4700-9d20-ef5bc4c5bcda,High,Active,2026-02-02 09:44:00,2026-02-02 10:14:00,user2@contoso.com,user2,HOST02,session_02,27300ca0-8fc5-4700-9d20-ef5bc4c5bcda
2026-02-02 09:48:00,1c9adf37-1fdb-46aa-859b-e8eea93fed0d,Incident involving 6483d7b1-7da0-4d2f-bc82-d5256f81dff3,Low,Active,2026-02-02 09:48:00,2026-02-02 10:18:00,user2@contoso.com,user2,HOST02,session_02,6483d7b1-7da0-4d2f-bc82-d5256f81dff3
2026-02-02 09:52:00,4f9b7988-de06-471d-8000-eefc5b987135,Incident involving a7e48901-d97f-4719-82fa-bce38aef397e,Low,Active,2026-02-02 09:52:00,2026-02-02 10:22:00,user2@contoso.com,user2,HOST02,session_02,a7e48901-d97f-4719-82fa-bce38aef397e
2026-02-02 09:56:00,9611d27c-fb0b-4b85-a747-09220d93824a,Incident involving 2f192f0d-cf51-4edd-8311-9f52807d0b1c,Low,Active,2026-02-02 09:56:00,2026-02-02 10:26:00,user2@contoso.com,user2,HOST02,session_02,2f192f0d-cf51-4edd-8311-9f52807d0b1c
