
TimeGenerated,UserPrincipalName,AccountName,IPAddress,Computer,CorrelationId,OperationName,Status,Location,ResultDescription
2026-02-01 08:00:00,user1@contoso.com,user1,203.0.113.10,HOST01,session_01,UserLogin,Failure,IN,Invalid password
2026-02-01 08:02:00,user1@contoso.com,user1,203.0.113.10,HOST01,session_01,UserLogin,Failure,IN,Invalid password
2026-02-01 08:04:00,user1@contoso.com,user1,203.0.113.10,HOST01,session_01,UserLogin,Failure,IN,Invalid password
2026-02-01 08:06:00,user1@contoso.com,user1,203.0.113.10,HOST01,session_01,UserLogin,Failure,IN,Invalid password
2026-02-01 08:08:00,user1@contoso.com,user1,203.0.113.10,HOST01,session_01,UserLogin,Failure,IN,Invalid password
2026-02-01 08:10:00,user1@contoso.com,user1,203.0.113.10,HOST01,session_01,UserLogin,Failure,IN,Invalid password
2026-02-01 08:12:00,user1@contoso.com,user1,203.0.113.10,HOST01,session_01,UserLogin,Failure,IN,Invalid password
2026-02-01 08:14:00,user1@contoso.com,user1,203.0.113.10,HOST01,session_01,UserLogin,Failure,IN,Invalid password
2026-02-01 08:16:00,user1@contoso.com,user1,203.0.113.10,HOST01,session_01,UserLogin,Failure,IN,Invalid password
2026-02-01 08:18:00,user1@contoso.com,user1,203.0.113.10,HOST01,session_01,UserLogin,Failure,IN,Invalid password
2026-02-01 08:20:00,user1@contoso.com,user1,203.0.113.10,HOST01,session_01,UserLogin,Success,IN,Sign-in succeeded
2026-02-02 08:00:00,user2@contoso.com,user2,203.0.113.11,HOST02,session_02,UserLogin,Failure,IN,Invalid password
2026-02-02 08:02:00,user2@contoso.com,user2,203.0.113.11,HOST02,session_02,UserLogin,Failure,IN,Invalid password
2026-02-02 08:04:00,user2@contoso.com,user2,203.0.113.11,HOST02,session_02,UserLogin,Failure,IN,Invalid password
2026-02-02 08:06:00,user2@contoso.com,user2,203.0.113.11,HOST02,session_02,UserLogin,Failure,IN,Invalid password
2026-02-02 08:08:00,user2@contoso.com,user2,203.0.113.11,HOST02,session_02,UserLogin,Failure,IN,Invalid password
2026-02-02 08:10:00,user2@contoso.com,user2,203.0.113.11,HOST02,session_02,UserLogin,Failure,IN,Invalid password
2026-02-02 08:12:00,user2@contoso.com,user2,203.0.113.11,HOST02,session_02,UserLogin,Failure,IN,Invalid password
2026-02-02 08:14:00,user2@contoso.com,user2,203.0.113.11,HOST02,session_02,UserLogin,Failure,IN,Invalid password
2026-02-02 08:16:00,user2@contoso.com,user2,203.0.113.11,HOST02,session_02,UserLogin,Failure,IN,Invalid password
2026-02-02 08:18:00,user2@contoso.com,user2,203.0.113.11,HOST02,session_02,UserLogin,Failure,IN,Invalid password
2026-02-02 08:20:00,user2@contoso.com,user2,203.0.113.11,HOST02,session_02,UserLogin,Success,IN,Sign-in succeeded
2026-02-03 08:00:00,user3@contoso.com,user3,203.0.113.12,HOST03,session_03,UserLogin,Failure,IN,Invalid password
2026-02-03 08:02:00,user3@contoso.com,user3,203.0.113.12,HOST03,session_03,UserLogin,Failure,IN,Invalid password
2026-02-03 08:04:00,user3@contoso.com,user3,203.0.113.12,HOST03,session_03,UserLogin,Failure,IN,Invalid password
2026-02-03 08:06:00,user3@contoso.com,user3,203.0.113.12,HOST03,session_03,UserLogin,Failure,IN,Invalid password
2026-02-03 08:08:00,user3@contoso.com,user3,203.0.113.12,HOST03,session_03,UserLogin,Failure,IN,Invalid password
2026-02-03 08:10:00,user3@contoso.com,user3,203.0.113.12,HOST03,session_03,UserLogin,Failure,IN,Invalid password
2026-02-03 08:12:00,user3@contoso.com,user3,203.0.113.12,HOST03,session_03,UserLogin,Failure,IN,Invalid password
2026-02-03 08:14:00,user3@contoso.com,user3,203.0.113.12,HOST03,session_03,UserLogin,Failure,IN,Invalid password
2026-02-03 08:16:00,user3@contoso.com,user3,203.0.113.12,HOST03,session_03,UserLogin,Failure,IN,Invalid password
2026-02-03 08:18:00,user3@contoso.com,user3,203.0.113.12,HOST03,session_03,UserLogin,Failure,IN,Invalid password
2026-02-03 08:20:00,user3@contoso.com,user3,203.0.113.12,HOST03,session_03,UserLogin,Success,IN,Sign-in succeeded
2026-02-04 08:00:00,user4@contoso.com,user4,203.0.113.13,HOST04,session_04,UserLogin,Failure,IN,Invalid password
2026-02-04 08:02:00,user4@contoso.com,user4,203.0.113.13,HOST04,session_04,UserLogin,Failure,IN,Invalid password
2026-02-04 08:04:00,user4@contoso.com,user4,203.0.113.13,HOST04,session_04,UserLogin,Failure,IN,Invalid password
2026-02-04 08:06:00,user4@contoso.com,user4,203.0.113.13,HOST04,session_04,UserLogin,Failure,IN,Invalid password
2026-02-04 08:08:00,user4@contoso.com,user4,203.0.113.13,HOST04,session_04,UserLogin,Failure,IN,Invalid password
2026-02-04 08:10:00,user4@contoso.com,user4,203.0.113.13,HOST04,session_04,UserLogin,Failure,IN,Invalid password
2026-02-04 08:12:00,user4@contoso.com,user4,203.0.113.13,HOST04,session_04,UserLogin,Failure,IN,Invalid password
2026-02-04 08:14:00,user4@contoso.com,user4,203.0.113.13,HOST04,session_04,UserLogin,Failure,IN,Invalid password
2026-02-04 08:16:00,user4@contoso.com,user4,203.0.113.13,HOST04,session_04,UserLogin,Failure,IN,Invalid password
2026-02-04 08:18:00,user4@contoso.com,user4,203.0.113.13,HOST04,session_04,UserLogin,Failure,IN,Invalid password
2026-02-04 08:20:00,user4@contoso.com,user4,203.0.113.13,HOST04,session_04,UserLogin,Success,IN,Sign-in succeeded
2026-02-05 08:00:00,user5@contoso.com,user5,203.0.113.14,HOST05,session_05,UserLogin,Failure,IN,Invalid password
2026-02-05 08:02:00,user5@contoso.com,user5,203.0.113.14,HOST05,session_05,UserLogin,Failure,IN,Invalid password
2026-02-05 08:04:00,user5@contoso.com,user5,203.0.113.14,HOST05,session_05,UserLogin,Failure,IN,Invalid password
2026-02-05 08:06:00,user5@contoso.com,user5,203.0.113.14,HOST05,session_05,UserLogin,Failure,IN,Invalid password
2026-02-05 08:08:00,user5@contoso.com,user5,203.0.113.14,HOST05,session_05,UserLogin,Failure,IN,Invalid password
2026-02-05 08:10:00,user5@contoso.com,user5,203.0.113.14,HOST05,session_05,UserLogin,Failure,IN,Invalid password
2026-02-05 08:12:00,user5@contoso.com,user5,203.0.113.14,HOST05,session_05,UserLogin,Failure,IN,Invalid password
2026-02-05 08:14:00,user5@contoso.com,user5,203.0.113.14,HOST05,session_05,UserLogin,Failure,IN,Invalid password
2026-02-05 08:16:00,user5@contoso.com,user5,203.0.113.14,HOST05,session_05,UserLogin,Failure,IN,Invalid password
2026-02-05 08:18:00,user5@contoso.com,user5,203.0.113.14,HOST05,session_05,UserLogin,Failure,IN,Invalid password
2026-02-05 08:20:00,user5@contoso.com,user5,203.0.113.14,HOST05,session_05,UserLogin,Success,IN,Sign-in succeeded
2026-02-06 08:00:00,user6@contoso.com,user6,203.0.113.15,HOST06,session_06,UserLogin,Failure,IN,Invalid password
2026-02-06 08:02:00,user6@contoso.com,user6,203.0.113.15,HOST06,session_06,UserLogin,Failure,IN,Invalid password
2026-02-06 08:04:00,user6@contoso.com,user6,203.0.113.15,HOST06,session_06,UserLogin,Failure,IN,Invalid password
2026-02-06 08:06:00,user6@contoso.com,user6,203.0.113.15,HOST06,session_06,UserLogin,Failure,IN,Invalid password
2026-02-06 08:08:00,user6@contoso.com,user6,203.0.113.15,HOST06,session_06,UserLogin,Failure,IN,Invalid password
