TimeGenerated,Verb,RequestUri,User,SourceIps,ObjectRef,ResponseStatus,Stage,Level,AuditId,UserAgent,PodName
2026-06-10T10:48:12Z,create,/apis/apps/v1/namespaces/payments/deployments,"{""username"":""dvora@contoso.com"",""groups"":[""system:authenticated"",""platform-engineers""]}","[""52.170.12.45""]","{""resource"":""deployments"",""namespace"":""payments"",""name"":""ledger-api"",""apiGroup"":""apps"",""apiVersion"":""v1""}","{""metadata"":{},""code"":201}",ResponseComplete,RequestResponse,a1f3c9e0-1001-4a10-9b21-0d4e5f6a7b01,kubectl/v1.29.2 (linux/amd64),kube-apiserver-aks-prod-01
2026-06-10T10:53:39Z,patch,/apis/apps/v1/namespaces/payments/deployments/ledger-api,"{""username"":""dvora@contoso.com"",""groups"":[""system:authenticated"",""platform-engineers""]}","[""52.170.12.45""]","{""resource"":""deployments"",""namespace"":""payments"",""name"":""ledger-api"",""apiGroup"":""apps"",""apiVersion"":""v1""}","{""metadata"":{},""code"":200}",ResponseComplete,RequestResponse,a1f3c9e0-1002-4a10-9b21-0d4e5f6a7b02,kubectl/v1.29.2 (linux/amd64),kube-apiserver-aks-prod-01
2026-06-10T10:56:04Z,create,/apis/apps/v1/namespaces/frontend/deployments,"{""username"":""dvora@contoso.com"",""groups"":[""system:authenticated"",""platform-engineers""]}","[""20.98.111.30""]","{""resource"":""deployments"",""namespace"":""frontend"",""name"":""web-portal"",""apiGroup"":""apps"",""apiVersion"":""v1""}","{""metadata"":{},""code"":201}",ResponseComplete,RequestResponse,a1f3c9e0-1003-4a10-9b21-0d4e5f6a7b03,kubectl/v1.29.2 (linux/amd64),kube-apiserver-aks-prod-01
2026-06-10T10:58:47Z,update,/api/v1/namespaces/payments/configmaps/ledger-config,"{""username"":""system:serviceaccount:payments:deployer"",""uid"":""8a2b1c44-0000-0000-0000-000000000111"",""groups"":[""system:serviceaccounts"",""system:serviceaccounts:payments"",""system:authenticated""]}","[""10.244.3.18""]","{""resource"":""configmaps"",""namespace"":""payments"",""name"":""ledger-config"",""apiVersion"":""v1""}","{""metadata"":{},""code"":200}",ResponseComplete,RequestResponse,a1f3c9e0-1004-4a10-9b21-0d4e5f6a7b04,helm/v3.14.0,kube-apiserver-aks-prod-01
2026-06-10T11:01:22Z,create,/api/v1/namespaces/kube-system/pods/exec?command=sh&container=coredns&stdin=true&stdout=true,"{""username"":""alexw@contoso.com"",""groups"":[""system:authenticated"",""cluster-readers""]}","[""185.220.101.2""]","{""resource"":""pods"",""namespace"":""kube-system"",""name"":""coredns-7d4b9c8f6-x2k9p"",""subresource"":""exec"",""apiVersion"":""v1""}","{""metadata"":{},""code"":101}",ResponseStarted,Request,b7e2d5a1-2001-4c30-8f55-9a1b2c3d4e01,kubectl/v1.30.0 (linux/amd64),kube-apiserver-aks-prod-01
2026-06-10T11:03:55Z,create,/api/v1/namespaces/default/pods,"{""username"":""alexw@contoso.com"",""groups"":[""system:authenticated"",""cluster-readers""]}","[""185.220.101.2""]","{""resource"":""pods"",""namespace"":""default"",""name"":""debug-shell"",""apiVersion"":""v1""}","{""metadata"":{},""code"":201}",ResponseComplete,RequestResponse,b7e2d5a1-2002-4c30-8f55-9a1b2c3d4e02,kubectl/v1.30.0 (linux/amd64),kube-apiserver-aks-prod-01
2026-06-10T11:06:18Z,patch,/apis/rbac.authorization.k8s.io/v1/clusterrolebindings/cluster-admin-binding,"{""username"":""alexw@contoso.com"",""groups"":[""system:authenticated"",""cluster-readers""]}","[""185.220.101.2""]","{""resource"":""clusterrolebindings"",""name"":""cluster-admin-binding"",""apiGroup"":""rbac.authorization.k8s.io"",""apiVersion"":""v1""}","{""metadata"":{},""code"":200}",ResponseComplete,RequestResponse,b7e2d5a1-2003-4c30-8f55-9a1b2c3d4e03,kubectl/v1.30.0 (linux/amd64),kube-apiserver-aks-prod-01
2026-06-10T11:08:41Z,create,/apis/rbac.authorization.k8s.io/v1/clusterrolebindings,"{""username"":""alexw@contoso.com"",""groups"":[""system:authenticated"",""cluster-readers""]}","[""185.220.101.2""]","{""resource"":""clusterrolebindings"",""name"":""ops-support-crb"",""apiGroup"":""rbac.authorization.k8s.io"",""apiVersion"":""v1""}","{""metadata"":{},""code"":201}",ResponseComplete,RequestResponse,b7e2d5a1-2004-4c30-8f55-9a1b2c3d4e04,kubectl/v1.30.0 (linux/amd64),kube-apiserver-aks-prod-01
2026-06-10T11:11:09Z,create,/api/v1/namespaces/kube-system/serviceaccounts/clusterrole-aggregation-controller/token,"{""username"":""alexw@contoso.com"",""groups"":[""system:authenticated"",""cluster-readers""]}","[""185.220.101.2""]","{""resource"":""serviceaccounts"",""namespace"":""kube-system"",""name"":""clusterrole-aggregation-controller"",""subresource"":""token"",""apiVersion"":""v1""}","{""metadata"":{},""code"":201}",ResponseComplete,RequestResponse,b7e2d5a1-2005-4c30-8f55-9a1b2c3d4e05,curl/8.5.0,kube-apiserver-aks-prod-01
2026-06-10T11:13:36Z,delete,/apis/apps/v1/namespaces/kube-system/daemonsets/ama-logs,"{""username"":""alexw@contoso.com"",""groups"":[""system:authenticated"",""cluster-readers""]}","[""185.220.101.2""]","{""resource"":""daemonsets"",""namespace"":""kube-system"",""name"":""ama-logs"",""apiGroup"":""apps"",""apiVersion"":""v1""}","{""metadata"":{},""code"":200}",ResponseComplete,RequestResponse,b7e2d5a1-2006-4c30-8f55-9a1b2c3d4e06,kubectl/v1.30.0 (linux/amd64),kube-apiserver-aks-prod-01
