TimeGenerated,Caller,CallerIpAddress,OperationNameValue,ActivityStatusValue,ActivitySubstatusValue,CategoryValue,Level,ResourceGroup,Resource,_ResourceId,ResourceProviderValue,SubscriptionId,CorrelationId,Authorization_d,Claims_d,Properties_d
2026-06-10T08:42:11Z,dvora@contoso.com,20.98.111.30,Microsoft.Resources/deployments/write,Succeeded,Created (HTTP Status Code: 201),Administrative,Informational,rg-finance-prod,deploy-nightly-1006,/subscriptions/11112222-3333-4444-5555-666677778888/resourceGroups/rg-finance-prod/providers/Microsoft.Resources/deployments/deploy-nightly-1006,Microsoft.Resources,11112222-3333-4444-5555-666677778888,3f1a2b6c-1001-4a01-9c11-aa0000000001,"{""action"":""Microsoft.Resources/deployments/write"",""scope"":""/subscriptions/11112222-3333-4444-5555-666677778888/resourceGroups/rg-finance-prod""}","{""appid"":""04b07795-8ddb-461a-bbee-02f9e1bf7b46"",""ipaddr"":""20.98.111.30"",""name"":""dvora@contoso.com"",""oid"":""c4d4d4d4-2002-4002-8002-200000000002""}","{""statusCode"":""Created"",""eventCategory"":""Administrative""}"
2026-06-10T08:55:03Z,itadmin@contoso.com,52.170.12.45,Microsoft.Compute/virtualMachines/write,Succeeded,OK (HTTP Status Code: 200),Administrative,Informational,rg-corp-it,vm-jumpbox-02,/subscriptions/11112222-3333-4444-5555-666677778888/resourceGroups/rg-corp-it/providers/Microsoft.Compute/virtualMachines/vm-jumpbox-02,Microsoft.Compute,11112222-3333-4444-5555-666677778888,7c2e9d10-1002-4b02-8d22-aa0000000002,"{""action"":""Microsoft.Compute/virtualMachines/write"",""scope"":""/subscriptions/11112222-3333-4444-5555-666677778888/resourceGroups/rg-corp-it/providers/Microsoft.Compute/virtualMachines/vm-jumpbox-02""}","{""appid"":""04b07795-8ddb-461a-bbee-02f9e1bf7b46"",""ipaddr"":""52.170.12.45"",""name"":""itadmin@contoso.com"",""oid"":""a1a1a1a1-3003-4003-8003-300000000003""}","{""statusCode"":""OK"",""eventCategory"":""Administrative""}"
2026-06-10T09:12:47Z,meganb@contoso.com,52.170.12.45,Microsoft.Storage/storageAccounts/read,Succeeded,OK (HTTP Status Code: 200),Administrative,Informational,rg-finance-prod,stcontosofin,/subscriptions/11112222-3333-4444-5555-666677778888/resourceGroups/rg-finance-prod/providers/Microsoft.Storage/storageAccounts/stcontosofin,Microsoft.Storage,11112222-3333-4444-5555-666677778888,9a4f1e22-1003-4c03-9e33-aa0000000003,"{""action"":""Microsoft.Storage/storageAccounts/read"",""scope"":""/subscriptions/11112222-3333-4444-5555-666677778888/resourceGroups/rg-finance-prod""}","{""appid"":""1950a258-227b-4e31-a9cf-717495945fc2"",""ipaddr"":""52.170.12.45"",""name"":""meganb@contoso.com"",""oid"":""b2b2b2b2-4004-4004-8004-400000000004""}","{""statusCode"":""OK"",""eventCategory"":""Administrative""}"
2026-06-10T09:28:19Z,dvora@contoso.com,20.98.111.30,Microsoft.Network/virtualNetworks/write,Succeeded,OK (HTTP Status Code: 200),Administrative,Informational,rg-corp-it,vnet-hub,/subscriptions/11112222-3333-4444-5555-666677778888/resourceGroups/rg-corp-it/providers/Microsoft.Network/virtualNetworks/vnet-hub,Microsoft.Network,11112222-3333-4444-5555-666677778888,2b7c8a44-1004-4d04-8f44-aa0000000004,"{""action"":""Microsoft.Network/virtualNetworks/write"",""scope"":""/subscriptions/11112222-3333-4444-5555-666677778888/resourceGroups/rg-corp-it/providers/Microsoft.Network/virtualNetworks/vnet-hub""}","{""appid"":""04b07795-8ddb-461a-bbee-02f9e1bf7b46"",""ipaddr"":""20.98.111.30"",""name"":""dvora@contoso.com"",""oid"":""c4d4d4d4-2002-4002-8002-200000000002""}","{""statusCode"":""OK"",""eventCategory"":""Administrative""}"
2026-06-10T09:39:52Z,alexw@contoso.com,185.220.101.2,Microsoft.Authorization/roleAssignments/write,Started,,Administrative,Informational,rg-finance-prod,4e2c9f81-owner,/subscriptions/11112222-3333-4444-5555-666677778888/resourceGroups/rg-finance-prod/providers/Microsoft.Authorization/roleAssignments/4e2c9f81-owner,Microsoft.Authorization,11112222-3333-4444-5555-666677778888,5e8d2c10-2001-4101-9a55-bb0000000010,"{""action"":""Microsoft.Authorization/roleAssignments/write"",""scope"":""/subscriptions/11112222-3333-4444-5555-666677778888/resourceGroups/rg-finance-prod"",""evidence"":{""role"":""Owner"",""roleAssignmentScope"":""/subscriptions/11112222-3333-4444-5555-666677778888/resourceGroups/rg-finance-prod""}}","{""appid"":""1950a258-227b-4e31-a9cf-717495945fc2"",""ipaddr"":""185.220.101.2"",""name"":""alexw@contoso.com"",""oid"":""f9f9f9f9-5005-4005-8005-500000000005"",""tid"":""a1b2c3d4-1111-2222-3333-444455556666""}","{""eventCategory"":""Administrative"",""message"":""Microsoft.Authorization/roleAssignments/write""}"
2026-06-10T09:40:07Z,alexw@contoso.com,185.220.101.2,Microsoft.Authorization/roleAssignments/write,Succeeded,Created (HTTP Status Code: 201),Administrative,Informational,rg-finance-prod,4e2c9f81-owner,/subscriptions/11112222-3333-4444-5555-666677778888/resourceGroups/rg-finance-prod/providers/Microsoft.Authorization/roleAssignments/4e2c9f81-owner,Microsoft.Authorization,11112222-3333-4444-5555-666677778888,5e8d2c10-2001-4101-9a55-bb0000000010,"{""action"":""Microsoft.Authorization/roleAssignments/write"",""scope"":""/subscriptions/11112222-3333-4444-5555-666677778888/resourceGroups/rg-finance-prod"",""evidence"":{""role"":""Owner"",""principalType"":""User"",""principalId"":""f9f9f9f9-5005-4005-8005-500000000005""}}","{""appid"":""1950a258-227b-4e31-a9cf-717495945fc2"",""ipaddr"":""185.220.101.2"",""name"":""alexw@contoso.com"",""oid"":""f9f9f9f9-5005-4005-8005-500000000005"",""tid"":""a1b2c3d4-1111-2222-3333-444455556666""}","{""statusCode"":""Created"",""eventCategory"":""Administrative"",""entity"":""/subscriptions/11112222-3333-4444-5555-666677778888/resourceGroups/rg-finance-prod/providers/Microsoft.Authorization/roleAssignments/4e2c9f81-owner""}"
2026-06-10T09:43:33Z,alexw@contoso.com,185.220.101.2,Microsoft.Authorization/roleAssignments/write,Succeeded,Created (HTTP Status Code: 201),Administrative,Informational,rg-finance-prod,7b1f3a52-contrib,/subscriptions/11112222-3333-4444-5555-666677778888/resourceGroups/rg-finance-prod/providers/Microsoft.Authorization/roleAssignments/7b1f3a52-contrib,Microsoft.Authorization,11112222-3333-4444-5555-666677778888,8a1c4d20-2002-4102-9b66-bb0000000011,"{""action"":""Microsoft.Authorization/roleAssignments/write"",""scope"":""/subscriptions/11112222-3333-4444-5555-666677778888/resourceGroups/rg-finance-prod"",""evidence"":{""role"":""Contributor"",""principalType"":""ServicePrincipal"",""principalId"":""bb00bb00-6006-4006-8006-600000000006""}}","{""appid"":""1950a258-227b-4e31-a9cf-717495945fc2"",""ipaddr"":""185.220.101.2"",""name"":""alexw@contoso.com"",""oid"":""f9f9f9f9-5005-4005-8005-500000000005"",""tid"":""a1b2c3d4-1111-2222-3333-444455556666""}","{""statusCode"":""Created"",""eventCategory"":""Administrative"",""entity"":""/subscriptions/11112222-3333-4444-5555-666677778888/resourceGroups/rg-finance-prod/providers/Microsoft.Authorization/roleAssignments/7b1f3a52-contrib""}"
2026-06-10T09:51:18Z,jamest@contoso.com,52.170.12.45,Microsoft.Resources/deployments/write,Succeeded,OK (HTTP Status Code: 200),Administrative,Informational,rg-marketing,deploy-web-42,/subscriptions/11112222-3333-4444-5555-666677778888/resourceGroups/rg-marketing/providers/Microsoft.Resources/deployments/deploy-web-42,Microsoft.Resources,11112222-3333-4444-5555-666677778888,1c9e5f30-1005-4e05-8a77-aa0000000005,"{""action"":""Microsoft.Resources/deployments/write"",""scope"":""/subscriptions/11112222-3333-4444-5555-666677778888/resourceGroups/rg-marketing""}","{""appid"":""04b07795-8ddb-461a-bbee-02f9e1bf7b46"",""ipaddr"":""52.170.12.45"",""name"":""jamest@contoso.com"",""oid"":""d3d3d3d3-7007-4007-8007-700000000007""}","{""statusCode"":""OK"",""eventCategory"":""Administrative""}"
2026-06-10T09:58:44Z,svc-backup@contoso.com,185.220.101.2,Microsoft.Storage/storageAccounts/listKeys/action,Started,,Administrative,Informational,rg-finance-prod,stcontosofin,/subscriptions/11112222-3333-4444-5555-666677778888/resourceGroups/rg-finance-prod/providers/Microsoft.Storage/storageAccounts/stcontosofin,Microsoft.Storage,11112222-3333-4444-5555-666677778888,3d2e6a40-2003-4103-9c88-bb0000000012,"{""action"":""Microsoft.Storage/storageAccounts/listKeys/action"",""scope"":""/subscriptions/11112222-3333-4444-5555-666677778888/resourceGroups/rg-finance-prod/providers/Microsoft.Storage/storageAccounts/stcontosofin""}","{""appid"":""bb00bb00-6006-4006-8006-600000000006"",""ipaddr"":""185.220.101.2"",""idtyp"":""app"",""oid"":""bb00bb00-6006-4006-8006-600000000006"",""tid"":""a1b2c3d4-1111-2222-3333-444455556666""}","{""eventCategory"":""Administrative"",""message"":""Microsoft.Storage/storageAccounts/listKeys/action""}"
2026-06-10T09:58:46Z,svc-backup@contoso.com,185.220.101.2,Microsoft.Storage/storageAccounts/listKeys/action,Succeeded,OK (HTTP Status Code: 200),Administrative,Informational,rg-finance-prod,stcontosofin,/subscriptions/11112222-3333-4444-5555-666677778888/resourceGroups/rg-finance-prod/providers/Microsoft.Storage/storageAccounts/stcontosofin,Microsoft.Storage,11112222-3333-4444-5555-666677778888,3d2e6a40-2003-4103-9c88-bb0000000012,"{""action"":""Microsoft.Storage/storageAccounts/listKeys/action"",""scope"":""/subscriptions/11112222-3333-4444-5555-666677778888/resourceGroups/rg-finance-prod/providers/Microsoft.Storage/storageAccounts/stcontosofin""}","{""appid"":""bb00bb00-6006-4006-8006-600000000006"",""ipaddr"":""185.220.101.2"",""idtyp"":""app"",""oid"":""bb00bb00-6006-4006-8006-600000000006"",""tid"":""a1b2c3d4-1111-2222-3333-444455556666""}","{""statusCode"":""OK"",""eventCategory"":""Administrative"",""entity"":""/subscriptions/11112222-3333-4444-5555-666677778888/resourceGroups/rg-finance-prod/providers/Microsoft.Storage/storageAccounts/stcontosofin""}"
