TimeGenerated,OfficeWorkload,RecordType,Operation,UserId,UserType,ResultStatus,ClientIP,Client_IPAddress,ActorIpAddress,OfficeObjectId,SourceFileName,Site_Url,Parameters,ClientInfoString,UserAgent
2026-06-10T08:12:44Z,Exchange,ExchangeItem,MailItemsAccessed,meganb@contoso.com,Regular,Succeeded,52.170.12.45,52.170.12.45,,,,,,Client=OWA;Action=ViaProxy,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36
2026-06-10T08:21:07Z,AzureActiveDirectory,AzureActiveDirectoryStsLogon,UserLoggedIn,alexw@contoso.com,Regular,Succeeded,185.220.101.2,185.220.101.2,185.220.101.2,,,,"[{""Name"":""UserAgent"",""Value"":""Mozilla/5.0""}]",,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36
2026-06-10T08:33:18Z,Exchange,ExchangeItem,Add-MailboxPermission,meganb@contoso.com,Regular,Succeeded,52.170.12.45,52.170.12.45,,,,,"[{""Name"":""AccessRights"",""Value"":""FullAccess""}]",Client=Exchange Management Console,
2026-06-10T08:36:02Z,Exchange,ExchangeAdmin,New-InboxRule,alexw@contoso.com,Regular,Succeeded,185.220.101.2,185.220.101.2,185.220.101.2,,,,"[{""Name"":""Name"",""Value"":""..fwd""},{""Name"":""From"",""Value"":""finance@contoso.com""},{""Name"":""ForwardTo"",""Value"":""exfil-mailbox@login-contoso-sso.com""},{""Name"":""DeleteMessage"",""Value"":""True""}]",Client=Exchange Admin Center,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36
2026-06-10T08:41:55Z,Exchange,ExchangeAdmin,UpdateInboxRules,alexw@contoso.com,Regular,Succeeded,185.220.101.2,185.220.101.2,185.220.101.2,,,,"[{""Name"":""RuleId"",""Value"":""7d2a1f90-aa11-4c5e-9f3b-000000000001""}]",Client=OWA;Action=ViaProxy,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36
2026-06-10T08:47:33Z,SharePoint,SharePointFileOperation,FileAccessed,jamest@contoso.com,Regular,Succeeded,20.98.111.30,20.98.111.30,,https://contoso.sharepoint.com/sites/Finance/Shared Documents/Q2-Plan.xlsx,Q2-Plan.xlsx,https://contoso.sharepoint.com/sites/Finance,,,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36
2026-06-10T09:02:10Z,OneDrive,SharePointFileOperation,FileAccessed,alexw@contoso.com,Regular,Succeeded,185.220.101.2,185.220.101.2,185.220.101.2,https://contoso-my.sharepoint.com/personal/alexw_contoso_com/Documents/Payroll-2026.xlsx,Payroll-2026.xlsx,https://contoso-my.sharepoint.com/personal/alexw_contoso_com,,,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36
2026-06-10T09:03:44Z,SharePoint,SharePointFileOperation,FileDownloaded,alexw@contoso.com,Regular,Succeeded,185.220.101.2,185.220.101.2,185.220.101.2,https://contoso.sharepoint.com/sites/Finance/Shared Documents/Vendor-Bank-Details.xlsx,Vendor-Bank-Details.xlsx,https://contoso.sharepoint.com/sites/Finance,,,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36
2026-06-10T09:04:01Z,SharePoint,SharePointFileOperation,FileDownloaded,alexw@contoso.com,Regular,Succeeded,185.220.101.2,185.220.101.2,185.220.101.2,https://contoso.sharepoint.com/sites/Finance/Shared Documents/Q2-Plan.xlsx,Q2-Plan.xlsx,https://contoso.sharepoint.com/sites/Finance,,,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36
2026-06-10T09:04:19Z,SharePoint,SharePointFileOperation,FileDownloaded,alexw@contoso.com,Regular,Succeeded,185.220.101.2,185.220.101.2,185.220.101.2,https://contoso.sharepoint.com/sites/Finance/Shared Documents/Acquisition-NDA.docx,Acquisition-NDA.docx,https://contoso.sharepoint.com/sites/Finance,,,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36
