TimeGenerated,IncidentNumber,IncidentName,Title,Severity,Status,Classification,ClassificationReason,Owner,AlertIds,CreatedTime,FirstActivityTime,LastActivityTime,ClosedTime,LastModifiedTime,ModifiedBy
2026-06-10T08:42:11Z,4471,9c7e2f10-1a2b-4c3d-9e4f-000000004471,Suspected account compromise – alexw (risky sign-in),Medium,New,,,"{""objectId"":"""",""email"":"""",""assignedTo"":"""",""userPrincipalName"":""""}","[""11111111-0001-0000-0000-00000000a001""]",2026-06-10T08:42:11Z,2026-06-10T08:20:33Z,2026-06-10T08:35:54Z,,2026-06-10T08:42:11Z,Microsoft Sentinel
2026-06-10T08:58:02Z,4468,7b3d1e09-9f8a-4b2c-8d1e-000000004468,Anonymous IP address sign-in,Low,New,,,"{""objectId"":"""",""email"":"""",""assignedTo"":"""",""userPrincipalName"":""""}","[""11111111-000f-0000-0000-00000000a00f""]",2026-06-10T08:58:02Z,2026-06-10T08:55:41Z,2026-06-10T08:56:10Z,,2026-06-10T08:58:02Z,Microsoft Sentinel
2026-06-10T09:05:47Z,4471,9c7e2f10-1a2b-4c3d-9e4f-000000004471,Suspected account compromise & data exfiltration – alexw,Medium,Active,,,"{""objectId"":""a7f3b2c1-9d8e-4f6a-b5c4-000000000910"",""email"":""dvora@contoso.com"",""assignedTo"":""Dvora Tanaka"",""userPrincipalName"":""dvora@contoso.com""}","[""11111111-0001-0000-0000-00000000a001"", ""11111111-0002-0000-0000-00000000a002""]",2026-06-10T08:42:11Z,2026-06-10T08:20:33Z,2026-06-10T09:02:18Z,,2026-06-10T09:05:47Z,dvora@contoso.com
2026-06-10T09:18:25Z,4468,7b3d1e09-9f8a-4b2c-8d1e-000000004468,Anonymous IP address sign-in,Low,Closed,BenignPositive,SuspiciousButExpected,"{""objectId"":"""",""email"":"""",""assignedTo"":""Automation"",""userPrincipalName"":""""}","[""11111111-000f-0000-0000-00000000a00f""]",2026-06-10T08:58:02Z,2026-06-10T08:55:41Z,2026-06-10T08:56:10Z,2026-06-10T09:18:25Z,2026-06-10T09:18:25Z,Automation Rule: Auto-close known VPN egress
2026-06-10T09:46:33Z,4471,9c7e2f10-1a2b-4c3d-9e4f-000000004471,Suspected account compromise & data exfiltration – alexw,High,Active,,,"{""objectId"":""a7f3b2c1-9d8e-4f6a-b5c4-000000000910"",""email"":""dvora@contoso.com"",""assignedTo"":""Dvora Tanaka"",""userPrincipalName"":""dvora@contoso.com""}","[""11111111-0001-0000-0000-00000000a001"", ""11111111-0002-0000-0000-00000000a002"", ""11111111-0003-0000-0000-00000000a003""]",2026-06-10T08:42:11Z,2026-06-10T08:20:33Z,2026-06-10T09:42:09Z,,2026-06-10T09:46:33Z,dvora@contoso.com
2026-06-10T10:09:14Z,4475,5a2c4d18-3e7b-4d9f-8a6c-000000004475,Multiple failed logons followed by success – meganb,Low,New,,,"{""objectId"":"""",""email"":"""",""assignedTo"":"""",""userPrincipalName"":""""}","[""11111111-0011-0000-0000-00000000a011""]",2026-06-10T10:09:14Z,2026-06-10T10:01:55Z,2026-06-10T10:04:30Z,,2026-06-10T10:09:14Z,Microsoft Sentinel
2026-06-10T10:24:51Z,4471,9c7e2f10-1a2b-4c3d-9e4f-000000004471,Suspected account compromise & data exfiltration – alexw,High,Active,,,"{""objectId"":""a7f3b2c1-9d8e-4f6a-b5c4-000000000910"",""email"":""dvora@contoso.com"",""assignedTo"":""Dvora Tanaka"",""userPrincipalName"":""dvora@contoso.com""}","[""11111111-0001-0000-0000-00000000a001"", ""11111111-0002-0000-0000-00000000a002"", ""11111111-0003-0000-0000-00000000a003"", ""11111111-0004-0000-0000-00000000a004"", ""11111111-0005-0000-0000-00000000a005"", ""11111111-0006-0000-0000-00000000a006""]",2026-06-10T08:42:11Z,2026-06-10T08:20:33Z,2026-06-10T10:21:44Z,,2026-06-10T10:24:51Z,dvora@contoso.com
2026-06-10T10:52:38Z,4471,9c7e2f10-1a2b-4c3d-9e4f-000000004471,Suspected account compromise & data exfiltration – alexw,High,Active,,,"{""objectId"":""a7f3b2c1-9d8e-4f6a-b5c4-000000000910"",""email"":""dvora@contoso.com"",""assignedTo"":""Dvora Tanaka"",""userPrincipalName"":""dvora@contoso.com""}","[""11111111-0001-0000-0000-00000000a001"", ""11111111-0002-0000-0000-00000000a002"", ""11111111-0003-0000-0000-00000000a003"", ""11111111-0004-0000-0000-00000000a004"", ""11111111-0005-0000-0000-00000000a005"", ""11111111-0006-0000-0000-00000000a006"", ""11111111-0008-0000-0000-00000000a008"", ""11111111-000a-0000-0000-00000000a00a"", ""11111111-000b-0000-0000-00000000a00b""]",2026-06-10T08:42:11Z,2026-06-10T08:20:33Z,2026-06-10T10:48:12Z,,2026-06-10T10:52:38Z,dvora@contoso.com
2026-06-10T11:14:09Z,4480,6b3d5e29-4f8c-4e1a-9b7d-000000004480,Suspicious Kubernetes secret access – aks-prod-01,Medium,New,,,"{""objectId"":"""",""email"":"""",""assignedTo"":"""",""userPrincipalName"":""""}","[""11111111-000e-0000-0000-00000000a00e""]",2026-06-10T11:14:09Z,2026-06-10T11:03:27Z,2026-06-10T11:08:51Z,,2026-06-10T11:14:09Z,Microsoft Sentinel
2026-06-10T11:31:22Z,4480,6b3d5e29-4f8c-4e1a-9b7d-000000004480,Suspicious Kubernetes secret access – aks-prod-01,Medium,Active,,,"{""objectId"":""c1d2e3f4-5a6b-4c7d-8e9f-000000000911"",""email"":""itadmin@contoso.com"",""assignedTo"":""IT Admin"",""userPrincipalName"":""itadmin@contoso.com""}","[""11111111-000e-0000-0000-00000000a00e"", ""11111111-0009-0000-0000-00000000a009""]",2026-06-10T11:14:09Z,2026-06-10T11:03:27Z,2026-06-10T11:27:40Z,,2026-06-10T11:31:22Z,itadmin@contoso.com
2026-06-10T11:48:55Z,4471,9c7e2f10-1a2b-4c3d-9e4f-000000004471,Suspected account compromise & data exfiltration – alexw,High,Closed,TruePositive,SuspiciousActivity,"{""objectId"":""a7f3b2c1-9d8e-4f6a-b5c4-000000000910"",""email"":""dvora@contoso.com"",""assignedTo"":""Dvora Tanaka"",""userPrincipalName"":""dvora@contoso.com""}","[""11111111-0001-0000-0000-00000000a001"", ""11111111-0002-0000-0000-00000000a002"", ""11111111-0003-0000-0000-00000000a003"", ""11111111-0004-0000-0000-00000000a004"", ""11111111-0005-0000-0000-00000000a005"", ""11111111-0006-0000-0000-00000000a006"", ""11111111-0008-0000-0000-00000000a008"", ""11111111-000a-0000-0000-00000000a00a"", ""11111111-000b-0000-0000-00000000a00b"", ""11111111-000c-0000-0000-00000000a00c"", ""11111111-000d-0000-0000-00000000a00d"", ""11111111-0012-0000-0000-00000000a012""]",2026-06-10T08:42:11Z,2026-06-10T08:20:33Z,2026-06-10T11:00:38Z,2026-06-10T11:48:55Z,2026-06-10T11:48:55Z,dvora@contoso.com
2026-06-10T11:52:03Z,4480,6b3d5e29-4f8c-4e1a-9b7d-000000004480,Suspicious Kubernetes secret access – aks-prod-01,Medium,Active,,,"{""objectId"":""c1d2e3f4-5a6b-4c7d-8e9f-000000000911"",""email"":""itadmin@contoso.com"",""assignedTo"":""IT Admin"",""userPrincipalName"":""itadmin@contoso.com""}","[""11111111-000e-0000-0000-00000000a00e"", ""11111111-0009-0000-0000-00000000a009"", ""11111111-0007-0000-0000-00000000a007""]",2026-06-10T11:14:09Z,2026-06-10T11:03:27Z,2026-06-10T11:49:30Z,,2026-06-10T11:52:03Z,itadmin@contoso.com
2026-06-10T12:07:41Z,4475,5a2c4d18-3e7b-4d9f-8a6c-000000004475,Multiple failed logons followed by success – meganb,Low,Closed,FalsePositive,InaccurateData,"{""objectId"":""f9e8d7c6-5b4a-4938-2716-000000000912"",""email"":""jamest@contoso.com"",""assignedTo"":""James Thompson"",""userPrincipalName"":""jamest@contoso.com""}","[""11111111-0011-0000-0000-00000000a011""]",2026-06-10T10:09:14Z,2026-06-10T10:01:55Z,2026-06-10T10:04:30Z,2026-06-10T12:07:41Z,2026-06-10T12:07:41Z,jamest@contoso.com
2026-06-10T12:35:18Z,4480,6b3d5e29-4f8c-4e1a-9b7d-000000004480,Suspicious Kubernetes secret access & exec – aks-prod-01,High,Active,,,"{""objectId"":""c1d2e3f4-5a6b-4c7d-8e9f-000000000911"",""email"":""itadmin@contoso.com"",""assignedTo"":""IT Admin"",""userPrincipalName"":""itadmin@contoso.com""}","[""11111111-000e-0000-0000-00000000a00e"", ""11111111-0009-0000-0000-00000000a009"", ""11111111-0007-0000-0000-00000000a007""]",2026-06-10T11:14:09Z,2026-06-10T11:03:27Z,2026-06-10T12:30:05Z,,2026-06-10T12:35:18Z,itadmin@contoso.com
