TimeGenerated,UserPrincipalName,UserDisplayName,UserId,AppDisplayName,AppId,IPAddress,AutonomousSystemNumber,Location,LocationDetails,IsInteractive,ClientAppUsed,ResultType,ResultDescription,Status,DeviceDetail,AuthenticationDetails,AuthenticationRequirement,ConditionalAccessStatus,RiskLevelDuringSignIn,RiskState,RiskDetail,CorrelationId,AADTenantId
2026-06-10T07:58:12Z,meganb@contoso.com,Megan Bowen,8f1e2a33-1111-4a4a-9b9b-aa0000000201,Office 365 Exchange Online,00000002-0000-0ff1-ce00-000000000000,52.170.12.45,8075,US,"{""city"":""Boston"",""state"":""Massachusetts"",""countryOrRegion"":""US"",""geoCoordinates"":{""latitude"":42.3601,""longitude"":-71.0589}}",true,Browser,0,,"{""errorCode"":0,""additionalDetails"":""MFA requirement satisfied by claim in the token""}","{""deviceId"":""c4c4c4c4-1111-2222-3333-000000000301"",""operatingSystem"":""Windows 11"",""browser"":""Edge 125.0"",""isCompliant"":true,""isManaged"":true,""trustType"":""Azure AD joined""}","[{""authenticationMethod"":""Password"",""succeeded"":true},{""authenticationMethod"":""Mobile app notification"",""succeeded"":true}]",multiFactorAuthentication,success,none,none,none,11aa22bb-0001-4c4c-8d8d-000000000001,a1b2c3d4-1111-2222-3333-444455556666
2026-06-10T08:05:47Z,jamest@contoso.com,James Thompson,7d2c3b44-2222-4b4b-8c8c-aa0000000202,Microsoft Teams,1fec8e78-bce4-4aaf-ab1b-5451cc387264,20.98.111.30,8075,GB,"{""city"":""London"",""state"":""England"",""countryOrRegion"":""GB"",""geoCoordinates"":{""latitude"":51.5074,""longitude"":-0.1278}}",true,Mobile Apps and Desktop clients,0,,"{""errorCode"":0,""additionalDetails"":""The user successfully signed in""}","{""deviceId"":""b5b5b5b5-2222-3333-4444-000000000302"",""operatingSystem"":""iOS 17.5"",""browser"":""Mobile Safari"",""isCompliant"":true,""isManaged"":true,""trustType"":""Azure AD registered""}","[{""authenticationMethod"":""Password"",""succeeded"":true},{""authenticationMethod"":""Mobile app notification"",""succeeded"":true}]",multiFactorAuthentication,success,none,none,none,11aa22bb-0002-4c4c-8d8d-000000000002,a1b2c3d4-1111-2222-3333-444455556666
2026-06-10T08:12:33Z,alexw@contoso.com,Alex Wilber,6c3d4a55-3333-4c4c-9d9d-aa0000000203,Office 365 Exchange Online,00000002-0000-0ff1-ce00-000000000000,52.170.12.45,8075,US,"{""city"":""Boston"",""state"":""Massachusetts"",""countryOrRegion"":""US"",""geoCoordinates"":{""latitude"":42.3601,""longitude"":-71.0589}}",true,Browser,0,,"{""errorCode"":0,""additionalDetails"":""The user successfully signed in""}","{""deviceId"":""d1d1d1d1-aaaa-bbbb-cccc-000000000007"",""operatingSystem"":""Windows 11"",""browser"":""Edge 125.0"",""isCompliant"":true,""isManaged"":true,""trustType"":""Azure AD joined""}","[{""authenticationMethod"":""Password"",""succeeded"":true},{""authenticationMethod"":""Mobile app notification"",""succeeded"":true}]",multiFactorAuthentication,success,none,none,none,11aa22bb-0003-4c4c-8d8d-000000000003,a1b2c3d4-1111-2222-3333-444455556666
2026-06-10T08:17:05Z,alexw@contoso.com,Alex Wilber,6c3d4a55-3333-4c4c-9d9d-aa0000000203,Office 365 Exchange Online,00000002-0000-0ff1-ce00-000000000000,185.220.101.2,205100,NL,"{""city"":""Amsterdam"",""state"":""North Holland"",""countryOrRegion"":""NL"",""geoCoordinates"":{""latitude"":52.3676,""longitude"":4.9041}}",true,Browser,50126,"Error validating credentials due to invalid username or password.","{""errorCode"":50126,""failureReason"":""Error validating credentials due to invalid username or password."",""additionalDetails"":""The user didn't enter the right credentials.""}","{""deviceId"":"""",""operatingSystem"":""Windows 10"",""browser"":""Chrome 124.0"",""isCompliant"":false,""isManaged"":false,""trustType"":""""}","[{""authenticationMethod"":""Password"",""succeeded"":false}]",singleFactorAuthentication,notApplied,low,atRisk,none,11aa22bb-0004-4c4c-8d8d-000000000004,a1b2c3d4-1111-2222-3333-444455556666
2026-06-10T08:18:41Z,alexw@contoso.com,Alex Wilber,6c3d4a55-3333-4c4c-9d9d-aa0000000203,Office 365 Exchange Online,00000002-0000-0ff1-ce00-000000000000,185.220.101.2,205100,NL,"{""city"":""Amsterdam"",""state"":""North Holland"",""countryOrRegion"":""NL"",""geoCoordinates"":{""latitude"":52.3676,""longitude"":4.9041}}",true,Browser,50126,"Error validating credentials due to invalid username or password.","{""errorCode"":50126,""failureReason"":""Error validating credentials due to invalid username or password."",""additionalDetails"":""The user didn't enter the right credentials.""}","{""deviceId"":"""",""operatingSystem"":""Windows 10"",""browser"":""Chrome 124.0"",""isCompliant"":false,""isManaged"":false,""trustType"":""""}","[{""authenticationMethod"":""Password"",""succeeded"":false}]",singleFactorAuthentication,notApplied,medium,atRisk,none,11aa22bb-0005-4c4c-8d8d-000000000005,a1b2c3d4-1111-2222-3333-444455556666
2026-06-10T08:19:58Z,alexw@contoso.com,Alex Wilber,6c3d4a55-3333-4c4c-9d9d-aa0000000203,Office 365 Exchange Online,00000002-0000-0ff1-ce00-000000000000,185.220.101.2,205100,NL,"{""city"":""Amsterdam"",""state"":""North Holland"",""countryOrRegion"":""NL"",""geoCoordinates"":{""latitude"":52.3676,""longitude"":4.9041}}",true,Browser,50126,"Error validating credentials due to invalid username or password.","{""errorCode"":50126,""failureReason"":""Error validating credentials due to invalid username or password."",""additionalDetails"":""The user didn't enter the right credentials.""}","{""deviceId"":"""",""operatingSystem"":""Windows 10"",""browser"":""Chrome 124.0"",""isCompliant"":false,""isManaged"":false,""trustType"":""""}","[{""authenticationMethod"":""Password"",""succeeded"":false}]",singleFactorAuthentication,notApplied,medium,atRisk,none,11aa22bb-0006-4c4c-8d8d-000000000006,a1b2c3d4-1111-2222-3333-444455556666
2026-06-10T08:20:36Z,alexw@contoso.com,Alex Wilber,6c3d4a55-3333-4c4c-9d9d-aa0000000203,Office 365 Exchange Online,00000002-0000-0ff1-ce00-000000000000,185.220.101.2,205100,NL,"{""city"":""Amsterdam"",""state"":""North Holland"",""countryOrRegion"":""NL"",""geoCoordinates"":{""latitude"":52.3676,""longitude"":4.9041}}",true,Browser,0,,"{""errorCode"":0,""additionalDetails"":""The user successfully signed in""}","{""deviceId"":"""",""operatingSystem"":""Windows 10"",""browser"":""Chrome 124.0"",""isCompliant"":false,""isManaged"":false,""trustType"":""""}","[{""authenticationMethod"":""Password"",""succeeded"":true}]",singleFactorAuthentication,notApplied,high,atRisk,none,11aa22bb-0007-4c4c-8d8d-000000000007,a1b2c3d4-1111-2222-3333-444455556666
2026-06-10T08:24:10Z,alexw@contoso.com,Alex Wilber,6c3d4a55-3333-4c4c-9d9d-aa0000000203,Microsoft Graph PowerShell,14d82eec-204b-4c2f-b7e8-296a70dab67e,185.220.101.2,205100,NL,"{""city"":""Amsterdam"",""state"":""North Holland"",""countryOrRegion"":""NL"",""geoCoordinates"":{""latitude"":52.3676,""longitude"":4.9041}}",true,Browser,0,,"{""errorCode"":0,""additionalDetails"":""The user successfully signed in""}","{""deviceId"":"""",""operatingSystem"":""Windows 10"",""browser"":""Chrome 124.0"",""isCompliant"":false,""isManaged"":false,""trustType"":""""}","[{""authenticationMethod"":""Previously satisfied"",""succeeded"":true}]",singleFactorAuthentication,notApplied,high,atRisk,none,11aa22bb-0008-4c4c-8d8d-000000000008,a1b2c3d4-1111-2222-3333-444455556666
2026-06-10T08:31:22Z,priya.menon@contoso.com,Priya Menon,5b4e5f66-4444-4d4d-8e8e-aa0000000204,Office 365 Exchange Online,00000002-0000-0ff1-ce00-000000000000,52.170.12.45,8075,US,"{""city"":""Boston"",""state"":""Massachusetts"",""countryOrRegion"":""US"",""geoCoordinates"":{""latitude"":42.3601,""longitude"":-71.0589}}",true,Browser,0,,"{""errorCode"":0,""additionalDetails"":""The user successfully signed in""}","{""deviceId"":""a6a6a6a6-3333-4444-5555-000000000303"",""operatingSystem"":""Windows 11"",""browser"":""Edge 125.0"",""isCompliant"":true,""isManaged"":true,""trustType"":""Azure AD joined""}","[{""authenticationMethod"":""Password"",""succeeded"":true},{""authenticationMethod"":""Mobile app notification"",""succeeded"":true}]",multiFactorAuthentication,success,none,none,none,11aa22bb-0009-4c4c-8d8d-000000000009,a1b2c3d4-1111-2222-3333-444455556666
2026-06-10T08:42:50Z,itadmin@contoso.com,IT Administrator,4a5f6a77-5555-4e4e-9f9f-aa0000000205,Azure Portal,c44b4083-3bb0-49c1-b47d-974e53cbdf3c,52.170.12.45,8075,US,"{""city"":""Boston"",""state"":""Massachusetts"",""countryOrRegion"":""US"",""geoCoordinates"":{""latitude"":42.3601,""longitude"":-71.0589}}",true,Browser,0,,"{""errorCode"":0,""additionalDetails"":""MFA completed via Authenticator app""}","{""deviceId"":""f7f7f7f7-4444-5555-6666-000000000304"",""operatingSystem"":""Windows 11"",""browser"":""Edge 125.0"",""isCompliant"":true,""isManaged"":true,""trustType"":""Azure AD joined""}","[{""authenticationMethod"":""Password"",""succeeded"":true},{""authenticationMethod"":""FIDO2 security key"",""succeeded"":true}]",multiFactorAuthentication,success,none,none,none,11aa22bb-000a-4c4c-8d8d-00000000000a,a1b2c3d4-1111-2222-3333-444455556666
2026-06-10T08:55:14Z,meganb@contoso.com,Megan Bowen,8f1e2a33-1111-4a4a-9b9b-aa0000000201,Microsoft Teams,1fec8e78-bce4-4aaf-ab1b-5451cc387264,52.170.12.45,8075,US,"{""city"":""Boston"",""state"":""Massachusetts"",""countryOrRegion"":""US"",""geoCoordinates"":{""latitude"":42.3601,""longitude"":-71.0589}}",false,Mobile Apps and Desktop clients,0,,"{""errorCode"":0,""additionalDetails"":""Token issued from refresh token""}","{""deviceId"":""c4c4c4c4-1111-2222-3333-000000000301"",""operatingSystem"":""Windows 11"",""browser"":""Edge 125.0"",""isCompliant"":true,""isManaged"":true,""trustType"":""Azure AD joined""}","[{""authenticationMethod"":""Previously satisfied"",""succeeded"":true}]",multiFactorAuthentication,success,none,none,none,11aa22bb-000b-4c4c-8d8d-00000000000b,a1b2c3d4-1111-2222-3333-444455556666
2026-06-10T09:02:41Z,alexw@contoso.com,Alex Wilber,6c3d4a55-3333-4c4c-9d9d-aa0000000203,Azure Portal,c44b4083-3bb0-49c1-b47d-974e53cbdf3c,185.220.101.2,205100,NL,"{""city"":""Amsterdam"",""state"":""North Holland"",""countryOrRegion"":""NL"",""geoCoordinates"":{""latitude"":52.3676,""longitude"":4.9041}}",true,Browser,0,,"{""errorCode"":0,""additionalDetails"":""The user successfully signed in""}","{""deviceId"":"""",""operatingSystem"":""Windows 10"",""browser"":""Chrome 124.0"",""isCompliant"":false,""isManaged"":false,""trustType"":""""}","[{""authenticationMethod"":""Previously satisfied"",""succeeded"":true}]",singleFactorAuthentication,notApplied,high,atRisk,none,11aa22bb-000c-4c4c-8d8d-00000000000c,a1b2c3d4-1111-2222-3333-444455556666
2026-06-10T09:08:19Z,alexw@contoso.com,Alex Wilber,6c3d4a55-3333-4c4c-9d9d-aa0000000203,Office 365 SharePoint Online,00000003-0000-0ff1-ce00-000000000000,91.219.236.18,49505,NL,"{""city"":""Amsterdam"",""state"":""North Holland"",""countryOrRegion"":""NL"",""geoCoordinates"":{""latitude"":52.3676,""longitude"":4.9041}}",false,Browser,0,,"{""errorCode"":0,""additionalDetails"":""Token issued from refresh token""}","{""deviceId"":"""",""operatingSystem"":""Windows 10"",""browser"":""Chrome 124.0"",""isCompliant"":false,""isManaged"":false,""trustType"":""""}","[{""authenticationMethod"":""Previously satisfied"",""succeeded"":true}]",singleFactorAuthentication,notApplied,high,atRisk,none,11aa22bb-000d-4c4c-8d8d-00000000000d,a1b2c3d4-1111-2222-3333-444455556666
2026-06-10T09:14:03Z,jamest@contoso.com,James Thompson,7d2c3b44-2222-4b4b-8c8c-aa0000000202,Office 365 Exchange Online,00000002-0000-0ff1-ce00-000000000000,20.98.111.30,8075,GB,"{""city"":""London"",""state"":""England"",""countryOrRegion"":""GB"",""geoCoordinates"":{""latitude"":51.5074,""longitude"":-0.1278}}",false,Mobile Apps and Desktop clients,0,,"{""errorCode"":0,""additionalDetails"":""Token issued from refresh token""}","{""deviceId"":""b5b5b5b5-2222-3333-4444-000000000302"",""operatingSystem"":""iOS 17.5"",""browser"":""Mobile Safari"",""isCompliant"":true,""isManaged"":true,""trustType"":""Azure AD registered""}","[{""authenticationMethod"":""Previously satisfied"",""succeeded"":true}]",multiFactorAuthentication,success,none,none,none,11aa22bb-000e-4c4c-8d8d-00000000000e,a1b2c3d4-1111-2222-3333-444455556666
2026-06-10T09:21:37Z,dvora@contoso.com,Diego Vora,3a6b7c88-6666-4f4f-8a8a-aa0000000206,Azure Portal,c44b4083-3bb0-49c1-b47d-974e53cbdf3c,52.170.12.45,8075,US,"{""city"":""Boston"",""state"":""Massachusetts"",""countryOrRegion"":""US"",""geoCoordinates"":{""latitude"":42.3601,""longitude"":-71.0589}}",true,Browser,0,,"{""errorCode"":0,""additionalDetails"":""MFA completed via Authenticator app""}","{""deviceId"":""e8e8e8e8-5555-6666-7777-000000000305"",""operatingSystem"":""macOS 14.5"",""browser"":""Safari 17.5"",""isCompliant"":true,""isManaged"":true,""trustType"":""Azure AD registered""}","[{""authenticationMethod"":""Password"",""succeeded"":true},{""authenticationMethod"":""Mobile app notification"",""succeeded"":true}]",multiFactorAuthentication,success,none,none,none,11aa22bb-000f-4c4c-8d8d-00000000000f,a1b2c3d4-1111-2222-3333-444455556666
2026-06-10T09:33:52Z,svc-backup@contoso.com,Backup Service Account,2a7c8d99-7777-4a5a-8b8b-aa0000000207,Azure Storage,e406a681-f3d4-42a8-90b6-c2b029497af1,52.170.12.45,8075,US,"{""city"":""Boston"",""state"":""Massachusetts"",""countryOrRegion"":""US"",""geoCoordinates"":{""latitude"":42.3601,""longitude"":-71.0589}}",false,Mobile Apps and Desktop clients,0,,"{""errorCode"":0,""additionalDetails"":""Token issued from refresh token""}","{""deviceId"":"""",""operatingSystem"":"""",""browser"":"""",""isCompliant"":false,""isManaged"":false,""trustType"":""""}","[{""authenticationMethod"":""Previously satisfied"",""succeeded"":true}]",singleFactorAuthentication,notApplied,none,none,none,11aa22bb-0010-4c4c-8d8d-000000000010,a1b2c3d4-1111-2222-3333-444455556666
2026-06-10T09:58:44Z,alexw@contoso.com,Alex Wilber,6c3d4a55-3333-4c4c-9d9d-aa0000000203,Azure Storage,e406a681-f3d4-42a8-90b6-c2b029497af1,91.219.236.18,49505,NL,"{""city"":""Amsterdam"",""state"":""North Holland"",""countryOrRegion"":""NL"",""geoCoordinates"":{""latitude"":52.3676,""longitude"":4.9041}}",false,Mobile Apps and Desktop clients,0,,"{""errorCode"":0,""additionalDetails"":""Token issued from refresh token""}","{""deviceId"":"""",""operatingSystem"":""Windows 10"",""browser"":"""",""isCompliant"":false,""isManaged"":false,""trustType"":""""}","[{""authenticationMethod"":""Previously satisfied"",""succeeded"":true}]",singleFactorAuthentication,notApplied,high,atRisk,none,11aa22bb-0011-4c4c-8d8d-000000000011,a1b2c3d4-1111-2222-3333-444455556666
2026-06-10T10:05:28Z,meganb@contoso.com,Megan Bowen,8f1e2a33-1111-4a4a-9b9b-aa0000000201,Office 365 SharePoint Online,00000003-0000-0ff1-ce00-000000000000,52.170.12.45,8075,US,"{""city"":""Boston"",""state"":""Massachusetts"",""countryOrRegion"":""US"",""geoCoordinates"":{""latitude"":42.3601,""longitude"":-71.0589}}",false,Browser,0,,"{""errorCode"":0,""additionalDetails"":""Token issued from refresh token""}","{""deviceId"":""c4c4c4c4-1111-2222-3333-000000000301"",""operatingSystem"":""Windows 11"",""browser"":""Edge 125.0"",""isCompliant"":true,""isManaged"":true,""trustType"":""Azure AD joined""}","[{""authenticationMethod"":""Previously satisfied"",""succeeded"":true}]",multiFactorAuthentication,success,none,none,none,11aa22bb-0012-4c4c-8d8d-000000000012,a1b2c3d4-1111-2222-3333-444455556666
2026-06-10T10:18:06Z,jamest@contoso.com,James Thompson,7d2c3b44-2222-4b4b-8c8c-aa0000000202,Azure Portal,c44b4083-3bb0-49c1-b47d-974e53cbdf3c,20.98.111.30,8075,GB,"{""city"":""London"",""state"":""England"",""countryOrRegion"":""GB"",""geoCoordinates"":{""latitude"":51.5074,""longitude"":-0.1278}}",true,Browser,50074,"Strong Authentication is required.","{""errorCode"":50074,""failureReason"":""Strong Authentication is required."",""additionalDetails"":""User did not pass the MFA challenge.""}","{""deviceId"":""b5b5b5b5-2222-3333-4444-000000000302"",""operatingSystem"":""iOS 17.5"",""browser"":""Mobile Safari"",""isCompliant"":true,""isManaged"":true,""trustType"":""Azure AD registered""}","[{""authenticationMethod"":""Password"",""succeeded"":true},{""authenticationMethod"":""Mobile app notification"",""succeeded"":false}]",multiFactorAuthentication,failure,none,none,none,11aa22bb-0013-4c4c-8d8d-000000000013,a1b2c3d4-1111-2222-3333-444455556666
2026-06-10T10:42:19Z,itadmin@contoso.com,IT Administrator,4a5f6a77-5555-4e4e-9f9f-aa0000000205,Microsoft Graph PowerShell,14d82eec-204b-4c2f-b7e8-296a70dab67e,52.170.12.45,8075,US,"{""city"":""Boston"",""state"":""Massachusetts"",""countryOrRegion"":""US"",""geoCoordinates"":{""latitude"":42.3601,""longitude"":-71.0589}}",true,Browser,0,,"{""errorCode"":0,""additionalDetails"":""MFA completed via FIDO2 security key""}","{""deviceId"":""f7f7f7f7-4444-5555-6666-000000000304"",""operatingSystem"":""Windows 11"",""browser"":""Edge 125.0"",""isCompliant"":true,""isManaged"":true,""trustType"":""Azure AD joined""}","[{""authenticationMethod"":""Password"",""succeeded"":true},{""authenticationMethod"":""FIDO2 security key"",""succeeded"":true}]",multiFactorAuthentication,success,none,none,none,11aa22bb-0014-4c4c-8d8d-000000000014,a1b2c3d4-1111-2222-3333-444455556666
